titre_commentaire,commentaire,Mois_Avis,Annee_Avis,Ville,Pays,Mois_Sejour,Annee_Sejour,Note,Photo,langue
"['objet', 'oublier', 'chambre']","['petit', 'garçon', 'oublier', 'switch', 'jaune', 'lit', 'appeler', 'réception', 'orienter', 'adresse', 'mail', 'personnel', 'hôtel', 'forcément', 'fais', 'lit', 'trouvez', 'switch', 'petit', 'garçon', 'très', 'difficile', 'hôtel', 'savoir', 'fais', 'chambre', 'décembre']",déc,2022,None, None,décembre,2022,1,no,fr
"['super', 'hôtel']","['explication', 'claire', 'réceptionniste', 'parlez', 'peu', 'vite', 'chambre', 'hôtel', 'bien', 'porte', 'chambres', 'pouvait', 'être', 'verrouillée', 'trouvé', 'problème', 'baignoire', 'être', 'utilisée', 'drain', 'fermait', 'correctement', 'eau', 'immédiatement', 'nouveau', 'épuisée', 'plus', 'grande', 'chambre', 'lit', 'merveilleux', 'petit', 'déjeuner', 'superbe', 'large', 'choix', 'gourmandises', 'quelque', 'chose', 'monde']",déc,2022,Zoetermeer, Pays-Bas,décembre,2022,3,no,nl
"['bon', 'hôtel']","['viens', 'rentrer', 'après', 'voyage', 'nuits', 'arrivé', 'milieu', 'matinée', 'reçu', 'magic', 'parti', 'parcs', 'enregistré', 'ligne', 'très', 'rapide', 'réception', 'milieu', 'aprèsmidi', 'reçu', 'email', 'informant', 'chambre', 'prête', 'retourné', 'minute', 'pied', 'chambre', 'propre', 'bien', 'rangée', 'chauffage', 'bénédiction', 'faisait', 'moins', 'quatre', 'extérieur', 'deux', 'lit', 'double', 'confortables', 'propres', 'salle', 'bain', 'entièrement', 'équipée', 'beaucoup', 'eau', 'chaude', 'courante', 'séjourné', 'santa', 'autres', 'hôtels', 'cherchez', 'défaut', 'direz', 'commence', 'sentir', 'âge', 'volume', 'trafic', 'traverse', 'hôtel', 'personnel', 'nettoyage', 'attente', 'fait', 'livre', 'sterling', 'travail', 'toujours', 'sourire', 'comme', 'plupart', 'voyage', 'vous…']",déc,2022,Inverclyde, Royaume-Uni,décembre,2022,4,no,en
['chouette'],"['belle', 'expérience', 'bel', 'hôtel', 'propre', 'près', 'parc', 'environ', 'minute', 'pied', 'chambres', 'simple', 'agréables', 'chambre', 'très', 'chaude', 'chauffage', 'maximum', 'confort', 'compte', 'tenu', 'jours', 'gel', 'intense', 'télévision', 'réglée', 'italien', 'robinets', 'portaient', 'également', 'nom', 'invité', 'réservé', 'mot', 'italien', 'eau', 'chaude', 'froide', 'navette', 'depuis', 'parc', 'toujours', 'disponible', 'restaurant', 'cave', 'bien', 'beaucoup', 'variété', 'aussi', 'végétaliens']",déc,2022,Brescia, Italie,décembre,2022,5,yes,it
['pire'],"['cette', 'expérience', 'pires', 'jamais', 'commencer', 'personnel', 'très', 'arrogant', 'rien', 'disponible', 'aider', 'passant', 'nourriture', 'toujours', 'froide', 'mauvaise', 'qualité', 'aussi', 'toujours', 'répétée', 'petit', 'déjeuner', 'aussi', 'dîné', 'jours', 'hôtel', 'nourriture', 'toujours', 'soupe', 'enfants', 'service', 'client', 'restaurant', 'pire', 'personnel', 'réception', 'également', 'très', 'distant', 'froid', 'serviable', 'vraiment', 'désolé', 'choisi', 'hôtel', 'sans', 'qualité', 'minimale', 'retournerai', 'certainement', 'hôtel', 'tous', 'voyageurs', 'quête', 'bienêtre', 'sélectionnez', 'hôtel']",déc,2022,Funchal, Portugal,décembre,2022,1,no,pt
"['dépassé', 'attentes']","['général', 'proximité', 'parc', 'bonne', 'organisation', 'restaurant', 'nombre', 'personnes', 'présentes', 'chambres', 'rénovées', 'propres', 'très', 'correct', 'personnel', 'très', 'sympathique', 'agréablement', 'surpris', 'totalement', 'recommandé']",déc,2022,None, None,décembre,2022,5,no,es
"['super', 'hôtel', 'familial']","['parfait', 'familles', 'promenade', 'facile', 'parc', 'bon', 'café', 'petitdéjeuner', 'frais', 'hôtels', 'parcs']",déc,2022,Wem, Royaume-Uni,décembre,2022,4,no,en
"['confortable', 'propre', 'sans', 'stress', 'pratique', 'vaut', 'coup']","['arrivée', 'hôtel', 'très', 'excitant', 'véritable', 'hôtel', 'thème', 'lorsque', 'sortez', 'voiture', 'musique', 'thème', 'music', 'joue', 'extérieur', 'hôtel', 'plonger', 'immédiatement', 'esprit', 'membres', 'personnel', 'polis', 'serviables', 'très', 'disposés', 'aider', 'chambre', 'très', 'spacieuse', 'très', 'propre', 'bons', 'équipements', 'tels', 'chaînes', 'télévision', 'article', 'toilette', 'lit', 'extrêmement', 'confortables', 'bien', 'dormi', 'chaque', 'nuit', 'rideaux', 'rendent', 'pièce', 'très', 'sombre', 'garantit', 'bonne', 'nuit', 'sommeil', 'jardins', 'hôtel', 'très', 'calmes', 'nuit', 'peu', 'bruit', 'vraiment', 'relaxant', 'beaucoup', 'sécurité', 'patrouillent', 'terrain', 'propriété', 'très', 'sûre', 'petitdéjeuner', 'buffet', 'dîner', 'buffet', 'délicieux', 'excellentes', 'option', 'personnel', 'incroyable', 'boire…']",déc,2022,Irlande,None,janvier,2022,5,no,en
"['lit', 'durs', 'toujours', 'attente', 'réparation', 'coffrefort', 'chambre']","['abord', 'moins', 'bons', 'point', 'minute', 'suivi', 'arrivée', 'dimanche', 'soir', 'signalé', 'coffrefort', 'chambre', 'défaut', 'essayé', 'suivre', 'instruction', 'devant', 'coffrefort', 'chaque', 'fois', 'appuyiez', 'clavier', 'avant', 'temp', 'taper', 'propre', 'code', 'autre', 'ensemble', 'code', 'affiche', 'écran', 'suivi', 'batt', 'somme', 'allés', 'réception', 'signalé', 'fois', 'dit', 'appuyer', 'taper', 'code', 'voulons', 'fois', 'dit', 'dame', 'pouviez', 'précède', 'produit', 'souffle', 'coupé', 'noté', 'numéro', 'chambre', 'partie', 'non', 'départ', 'mercredi', 'matin', 'coffrefort', 'chambre', 'bloc', 'attend', 'toujours', 'être…']",déc,2022,Walton-on-the-Naze, Royaume-Uni,décembre,2022,3,no,en
"['bienvenue', 'route']","['hôtel', 'vieillissant', 'chambre', 'propre', 'fonctionnelle', 'accueil', 'très', 'sympathique', 'convivial', 'café', 'offert', 'distributeur', 'ambiance', 'nouveau', 'mexique', 'route', 'fond', 'tous', 'petits', 'accessoires', 'thème', 'kashaw']",déc,2022,None, None,novembre,2022,4,yes,fr
"['immersion', 'géniale', 'univers']","['hôtel', 'chambres', 'extérieur', 'immersif', 'univers', 'musique', 'déco', 'courtsmétrages', 'entrée', 'hôtel', 'starbuck', 'beau', 'également', 'nuit', 'néons', 'rouge', 'rajoutent', 'charme', 'supplémentaire']",déc,2022,None, None,novembre,2022,4,no,fr
"['pluton', 'toujours']","['allé', 'fois', 'toujours', 'choisi', 'hôtel', 'navette', 'passe', 'toutes', 'minute', 'emmener', 'entrée', 'parc', 'hôtel', 'fait', 'partie', 'chaîne', 'dernier', 'parc', 'faut', 'minute', 'pied', 'aller', 'hôtel', 'rien', 'puissiez', 'faire', 'contraire', 'moins', 'cher', 'chaîne']",déc,2022,None, None,juillet,2022,5,no,it
['séjour'],"['très', 'déçu', 'séjourdes', 'mois', 'préparation', 'surtout', 'enfants', 'surexcités', 'enfin', 'pouvoir', 'voir', 'héros', 'final', 'dire', 'plus', 'rdv', 'faire', 'photo', 'personnages', 'plus', 'créneaux', 'deux', 'jours', 'passés', 'tous', 'point', 'photo', 'personnages', 'rengaine', 'trouve', 'honteux', 'préparé', 'voyage', 'fille', 'situation', 'handicap', 'contacté', 'sais', 'combien', 'fois', 'justement', 'renseignements', 'être', 'bien', 'préparé', 'rien', 'rater', 'aucun', 'moment', 'dit', 'prendre', 'rdv', 'photo', 'personnages', 'sachant', 'rdv', 'pris', 'jour', 'parcdonc', 'expliqué', 'enfant', 'situation', 'handicap…']",déc,2022,None, None,novembre,2022,1,no,fr
"['personnel', 'agréable', 'confortable']","['personnel', 'sympathique', 'nourriture', 'bonne', 'navette', 'parcs', 'régulière', 'temp', 'supplémentaire', 'parcs', 'apprécié', 'laisse', 'tomber', 'endroit', 'chambres', 'matelas', 'comme', 'carton', 'interrupteurs', 'déroutants', 'bâtiments', 'hôtel', 'très', 'datés', 'autocollant', 'voitures', 'bonne', 'nuit', 'sommeil', 'attendezvous', 'longues', 'file', 'attente', 'petitdéjeuner', 'réduire', 'temp', 'stationnement', 'supplémentaire', 'note', 'complémentaire', 'apportez', 'beaucoup', 'eau', 'parcs', 'très', 'peu', 'fontaines', 'eau', 'fonctionnent']",déc,2022,Londres, Royaume-Uni,novembre,2022,3,no,en
"['bien', 'exceptionnel']","['hôtel', 'situé', 'min', 'pieds', 'parcs', 'passant', 'village', 'accueil', 'sympa', 'sans', 'plus', 'chambre', 'assez', 'spacieuse', 'belle', 'déco', 'détails', 'jusque', 'salle', 'bain', 'revanche', 'literie', 'confortable', 'oreillers', 'très', 'durs', 'hôtel', 'vieillissant', 'mériterait', 'bon', 'rafraichissement', 'mettons', 'notamment', 'buffet', 'petit', 'déjeuner', 'très', 'fourni', 'varié', 'sucrésalé', 'très', 'bon', 'starbucks', 'hôtel', 'pratique', 'assez', 'cher', 'informé', 'boissons', 'offertes', 'dommage']",nov,2022,Versailles, France,novembre,2022,4,no,fr
['déçu'],"['première', 'fois', 'hôtel', 'pense', 'dernière', 'dormi', 'anniversaire', 'fille', 'deux', 'enfants', 'chauffage', 'coupé', 'impossible', 'allumer', 'première', 'fois', 'aussi', 'froid', 'nuit', 'enfants', 'épuisé', 'journée', 'finalement', 'mal', 'endormir', 'dormi', 'doudoune', 'pouvoir', 'réchauffer', 'appeler', 'service', 'être', 'déranger', 'plus', 'lontemps', 'nuit', 'dit', 'prend', 'plus', 'petite', 'attention', 'chambre', 'accueil', 'anniversaire', 'puce', 'vraiment', 'déçu', 'hôtel', 'besoin', 'bon', 'rafraîchissement']",nov,2022,None, None,novembre,2022,3,no,fr
"['super', 'douche', 'accessible', 'pied']","['opté', 'hôtel', 'étoiles', 'meilleure', 'affaire', 'plus', 'éloigné', 'tous', 'hôtels', 'trouve', 'minute', 'pied', 'chemin', 'bien', 'éclairé', 'jamais', 'pris', 'navette', 'gratuite', 'fois', 'ceuxci', 'semblaient', 'parfois', 'beaucoup', 'trop', 'occupés', 'hôtel', 'serviable', 'enregistrement', 'rapide', 'comme', 'application', 'quand', 'somme', 'arrivés', 'magic', 'prêts', 'être', 'récupérés', 'réception', 'starbucks', 'réception', 'distributeurs', 'automatiques', 'machine', 'glace', 'bloc', 'hôtel', 'séjourné', 'chambre', 'hôtel', 'basique', 'thème', 'cool', 'adultes', 'lit', 'double', 'très', 'confortables', 'équipements', 'comprenaient', 'télévision', 'radiateur', 'douche', 'shampoing', 'serviette', 'petit', 'pain', 'savon', 'sèchecheveux', 'intégré', 'prises', 'courant', 'loin', 'lit', 'une…']",nov,2022,Édimbourg, Royaume-Uni,novembre,2022,4,yes,en
['recommandé'],"['hôtel', 'parmi', 'parmi', 'moins', 'chers', 'moins', 'cher', 'certains', 'hôtels', 'partenaires', 'thème', 'non', 'excellent', 'emplacement', 'fois', 'gare', 'aéroports', 'facilement', 'accessibles', 'navette', 'magique', 'chaque', 'nuit', 'hôtel', 'pouvez', 'trouver', 'personnage', 'lequel', 'pouvez', 'interagir', 'prendre', 'photo', 'esthétiquement', 'tous', 'thème', 'très', 'sympa', 'restaurant', 'intérieur', 'hôtel', 'utilisé', 'peux', 'donner', 'avis', 'aussi', 'starbucks', 'très', 'pratique', 'petite', 'faim', 'soir', 'rentrant', 'parc', 'prendre', 'petit', 'déjeuner', 'forfait', 'inclut', 'trouvé', 'chambre', 'propre', 'peutêtre', 'juste', 'peu', 'poussière', 'coin', 'toit', 'alors', 'salles', 'bain', 'revoir', 'évier', 'boutons…']",nov,2022,Milan, Italie,novembre,2022,4,no,it
"['généralement', 'bon', 'prix', 'correct']","['environnement', 'confortable', 'joliment', 'décoré', 'grande', 'chambre', 'propre', 'expérience', 'positive', 'lors', 'visite', 'eurodisney', 'restaurant', 'également', 'accueillants', 'bonne', 'nourriture', 'toute', 'famille', 'enfants', 'aussi', 'facile', 'aller', 'venir', 'parc']",nov,2022,Athènes, Grèce,mai,2022,4,no,en
"['bon', 'hôtel', 'économique', 'argent']","['considérant', 'option', 'hôtel', 'moins', 'chère', 'heureux', 'agréablement', 'surpris', 'hébergement', 'basique', 'lit', 'double', 'salle', 'bain', 'douche', 'incroyable', 'adultes', 'partageant', 'peu', 'serré', 'dormi', 'impeccablement', 'propre', 'chambre', 'nettoyée', 'tous', 'jours', 'serviette', 'propres', 'coffrefort', 'sèchecheveux', 'génial', 'nombreux', 'cintres', 'tiroirs', 'murs', 'extrêmement', 'fin', 'réveillés', 'plusieurs', 'fois', 'chaque', 'côté', 'audessus', 'comprenait', 'chaque', 'fois', 'chasse', 'eau', 'tirée', 'douche', 'ouverte', 'également', 'juste', 'côté', 'entrée', 'bloc', 'dérangés', 'chaque', 'fois', 'gen', 'franchissaient', 'cette', 'porte', 'petit', 'déjeuner', 'correct', 'génial', 'horrible', 'grand', 'choix', 'plat', 'chauds', 'froids', 'aussi', 'microondes', 'grande', 'partie', 'nourriture', 'oubliée…']",nov,2022,Northallerton, Royaume-Uni,novembre,2022,3,no,en
['adorable'],"['trouvé', 'vraiment', 'adorable', 'mise', 'place', 'voitures', 'chaque', 'pièce', 'complexe', 'général', 'chambre', 'deux', 'personnes', 'deux', 'beau', 'lit', 'simple', 'demi', 'salle', 'bain', 'confortable', 'séjour', 'agréable', 'aussi', 'part', 'navettes', 'possible', 'rejoindre', 'parc', 'facilement', 'pied', 'quart', 'heure']",nov,2022,Caserta, Italie,novembre,2022,4,no,it
"['avis', 'personnel', 'rapport', 'hôtels', 'orlando', 'floride', 'usa']","['pense', 'besoin', 'décoration', 'plus', 'thématique', 'voitures', 'exemple', 'lit', 'sou', 'forme', 'voiture', 'serviette', 'broderies', 'beaucoup', 'aimé', 'publicité', 'télévision…', 'également', 'apprécié', 'fait', 'départ', 'nécessaire', 'mal', 'trouver', 'immeuble', 'chambre']",nov,2022,Dublin, Irlande,novembre,2022,4,yes,en
"['très', 'bon', 'hôtel', 'bon', 'service']","['arrivée', 'bien', 'accueillis', 'immédiatement', 'aller', 'chambre', 'chambre', 'belle', 'propre', 'hôtel', 'bien', 'situé', 'super', 'ambiance', 'restaurant', 'beau', 'grand', 'nourriture', 'toujours', 'sou', 'forme', 'buffet', 'plus', 'assez', 'choix', 'nourriture', 'toujours', 'savoureuse', 'petitdéjeuner', 'dîner', 'expérience', 'formidable', 'referai', 'certainement', 'jour']",nov,2022,None, None,juillet,2022,5,no,en
"['séjour', 'hôtel', 'santa']","['hôtel', 'jus', 'mérite', 'bon', 'rafraîchissement', 'personnel', 'très', 'sympathique', 'service', 'top', 'buffet', 'goûts', 'bon', 'weekend', 'passe', 'reviendrons', 'sûrement', 'bien', 'quand']",nov,2022,Mexy, France,novembre,2022,3,no,fr
"['ensemble', 'super', 'séjour']","['ème', 'visite', 'séjour', 'hôtel', 'santa', 'fantastique', 'hôtel', 'peu', 'labyrinthe', 'quand', 'arrive', 'première', 'fois', 'chambre', 'peu', 'pied', 'restaurant', 'problème', 'personnel', 'très', 'serviable', 'chambres', 'très', 'confortables', 'petits', 'détails', 'restaurant', 'divertir', 'enfants', 'fabuleux', 'aimerais', 'revenir', 'jour']",nov,2022,Blackpool, Royaume-Uni,septembre,2022,4,yes,en
"['personnel', 'adorable', 'hôtel', 'fatigué', 'prix']","['fin', 'compte', 'hôtel', 'parfait', 'séjourner', 'utilisé', 'comme', 'endroit', 'dormir', 'prendre', 'douche', 'prendre', 'petit', 'déjeuner', 'allait', 'bien', 'personnel', 'sympathique', 'serviable', 'hôtel', 'semble', 'vraiment', 'démodé', 'fatigué', 'chambres', 'bien', 'thème', 'voitures', 'minables', 'usées', 'savons', 'argent', 'hôtel', 'étoiles', 'trop', 'cher', 'séjourné', 'plus', 'beau', 'hôtels', 'chaîne', 'cœur', 'londres', 'beaucoup', 'moins', 'cher', 'donné', 'fonction', 'rapport', 'qualitéprix', 'deuxième', 'jour', 'lavabo', 'chambre', 'commencé', 'fuir', 'parlé', 'réception', 'moment', 'somme', 'revenus', 'parc', 'thème', 'soirlà', 'lavabo', 'réparé', 'nouvel', 'ensemble', 'tuyaux', 'dessous', 'rien', 'reprocher', 'service', 'montre', 'personnel', 'était…']",nov,2022,Rochford, Royaume-Uni,novembre,2022,3,no,en
"['bel', 'hôtel', 'bon', 'standing']","['thème', 'voitures', 'très', 'bien', 'fait', 'thème', 'concept', 'visibles', 'extérieur', 'intérieur', 'dont', 'besoin', 'disponible', 'chambre', 'télévision', 'ainsi', 'toilette', 'douche', 'fonctionnent', 'parfaitement', 'propre', 'nettoyé', 'tous', 'jours', 'studio', 'accessibles', 'minute', 'pied', 'navette', 'souhaitez', 'réserver', 'hôtels', 'chers', 'bon', 'endroit', 'seulement', 'étoiles', 'chambre', 'très', 'agréable', 'spacieuse', 'propre', 'acteurs', 'hôtel', 'très', 'sympathiques', 'complexe', 'aussi', 'immense', 'fait', 'parfaitement', 'organisé', 'réception', 'restaurant']",nov,2022,Fribourg, Allemagne,novembre,2022,5,yes,de
"['mieux', 'prévu']","['hôtel', 'très', 'bien', 'thème', 'voitures', 'cinéma', 'certains', 'immeubles', 'ascenseur', 'personnel', 'très', 'sympathique', 'très', 'bien', 'traités', 'réception', 'chambre', 'spacieuse', 'lit', 'confortables', 'assez', 'dormir', 'puisque', 'passez', 'majeure', 'partie', 'temp', 'parc', 'salle', 'bain', 'bien', 'seule', 'chose', 'baignoire', 'disposez', 'sèchecheveux', 'coffrefort', 'nettoyage', 'correct', 'conseillé', 'prendre', 'chambre', 'tarif', 'min', 'pied', 'parc', 'min', 'bus', 'gratuit', 'parc']",nov,2022,Saint-Sébastien, Espagne,novembre,2022,4,yes,es
"['assez', 'charme']","['bel', 'hôtel', 'standard', 'comparable', 'hôtel', 'attendez', 'trop', 'hôtel', 'réparti', 'grande', 'surface', 'nombreux', 'bâtiments', 'starbucks', 'bâtiment', 'principal', 'marchez', 'parcs', 'min', 'navette', 'min', 'wifi', 'bon', 'chambres', 'propres']",nov,2022,Herne, Allemagne,novembre,2022,4,yes,de
"['hôtel', 'petit', 'déjeuner', 'malheureusement']","['séjourné', 'personnes', 'enfants', 'deux', 'chambres', 'communicantes', 'chambres', 'petite', 'fonctionnelles', 'relativement', 'propres', 'salle', 'bain', 'assez', 'ancienne', 'correcte', 'chambre', 'dormir', 'délibérément', 'choisi', 'option', 'moins', 'chère', 'hôtels', 'emplacement', 'génial', 'minute', 'pied', 'parcs', 'parfait', 'petit', 'déjeuner', 'immangeable', 'prix', 'exorbitant', 'attendais', 'certainement', 'qualité', 'peu', 'supérieure', 'malheureusement', 'loin', 'pire', 'petit', 'déjeuner', 'buffet', 'jamais', 'connu', 'voyagionsvoyagions', 'beaucoup', 'partout', 'monde', 'positif', 'sans', 'aucun', 'doute', 'gentillesse', 'tous', 'employés', 'gros', 'recommanderais', 'hôtel', 'savez', 'recherchez', 'étoiles…']",nov,2022,None, None,novembre,2022,3,no,de
"['service', 'exceptionnel']","['après', 'quelques', 'heures', 'parc', 'voulions', 'installer', 'chambre', 'changer', 'fête', 'halloween', 'malheureusement', 'plusieurs', 'problèmes', 'fini', 'coûter', 'heure', 'responsable', 'réception', 'donné', 'accès', 'premium', 'attraction', 'choix', 'finalement', 'aussi', 'heure', 'attente', 'ensemble', 'parfaitement', 'résolu', 'quand', 'passé', 'très', 'belle', 'journéesoirée']",nov,2022,None, None,octobre,2022,5,no,nl
"['adore', 'paris', 'hôtel', 'plus', 'basse', 'qualité', 'place']","['famille', 'adorons', 'paris', 'maintenant', 'séjourné', 'tous', 'hôtels', 'marque', 'place', 'dirais', 'hôtel', 'manque', 'sérieusement', 'qualité', 'hôtel', 'santa', 'thème', 'fantastique', 'voitures', 'manque', 'sérieusement', 'magie', 'autres', 'domaines', 'visité', 'pendant', 'période', 'chaleur', 'non', 'seulement', 'hôtel', 'climatisation', 'pouvez', 'ouvrir', 'correctement', 'fenêtres', 'chambre', 'ventilateur', 'plafond', 'assez', 'inutile', 'petitdéjeuner', 'buffet', 'habituel', 'bien', 'file', 'attente', 'entrer', 'restaurant', 'matin', 'vraiment', 'très', 'longues', 'promenade', 'minute', 'parcs', 'agréable', 'sauf', 'lorsqu', 'pleuvait', 'lorsque', 'bus', 'excellente', 'option']",nov,2022,Nuneaton, Royaume-Uni,août,2022,3,no,en
"['service', 'horrible', 'nettoient', 'chambre', 'donnent', 'aucune', 'solution']","['service', 'horrible', 'nettoient', 'chambre', 'donnent', 'aucune', 'solution', 'soir', 'doi', 'aller', 'réception', 'tard', 'nuit', 'deuxième', 'soir', 'donnaient', 'gel', 'douche', 'plaignons', 'également', 'quel', 'point', 'lit', 'mal', 'faits', 'voir', 'photo', 'lendemain', 'découvrons', 'arrivant', 'chambre', 'propre', 'lit', 'défaits', 'serviette', 'sale', 'quitté', 'chambre', 'plus', 'plus', 'tard', 'agréable', 'arriver', 'presque', 'minuit', 'chambre', 'deux', 'petits', 'enfants', 'constater', 'chambre', 'faite', 'devoir', 'laisser', 'enfants', 'approcher', 'réception', 'arriver', 'rien', 'temp', 'perdu', 'pire', 'proposent', 'aucune', 'solution', 'superviseur', 'serum', 'disponible', 'minute', 'gars…']",nov,2022,None, None,août,2022,1,yes,en
"['fatigué', 'bon', 'hôtel']","['venons', 'rentrer', 'santa', 'vais', 'être', 'hôtel', 'économique', 'fantastique', 'accès', 'facile', 'deux', 'parcs', 'somme', 'promenés', 'parcs', 'chaque', 'jour', 'certains', 'amis', 'paresseux', 'pris', 'bus', 'parc', 'minute', 'avant', 'marchant', 'ouais', 'faisait', 'beau', 'marcher', 'peutêtre', 'meilleure', 'option', 'temp', 'merde', 'retour', 'hôtel', 'indéniablement', 'fatigue', 'laissez', 'nuire', 'qualité', 'très', 'basique', 'endroit', 'prendre', 'petit', 'déjeuner', 'dormir', 'reste', 'temp', 'occupé', 'faire', 'trucs', 'vraiment', 'rien', 'reprocher', 'comme', 'dit', 'plus', 'tôt', 'moins', 'temp', 'mauvais', 'suffit', 'marcher', 'parcs', 'minute', 'seul', 'unique', 'reproche', 'vient', 'starbucks', 'place', 'comme', 'aspiration']",nov,2022,Walney, Royaume-Uni,octobre,2022,5,no,en
