titre_comm,comm,date,loc,note,photo
Hôtel au top,"Hôtel à la disney! Accueil au top. L’immersion est totale : décor, langage utilisé, … Les détails en cette période de Noël valent le détour (compas, boussole, globe et autre décos garnissent les sapins). Le Compass club est un privilège : accueil +++, nourriture très correctes pour une grosse boîte.",Taillou a écrit un avis (nov. 2022),"None, None",bubble_50,yes
"Nous aussi nous sommes tombés sur une chambre pas très propre cheveux par terre tache sur la moquette , est bruyante","Bonjour  je n’ai pas l’habitude de me plaindre, l’année dernière nous sommes tombés sur une chambre  très bruyante et pas très propre (cheveux sur le sol, tâches sur la moquette) nous avons été très surpris et déçu !   Après une vingtaine de séjours à Disneyland Paris  et principalement au Disneyland hôtel, Monsieur Bernini et Monsieur Faouzi avec qui nous avions eu l’occasion de sympathiser  nous avait redirigé vers l’hôtel Newport suite aux travaux à l’hôtel Disney.  J’espère que cette année notre séjour du 7 au 9 janvier 2023 sera plus agréable . monsieur Puyol Bruned",Yan a écrit un avis (nov. 2022),"None, None",bubble_30,yes
Chambre sale et personnel de l’hôtel désagréable,"La chambre n’avait très certainement pas été faite avant notre arrivée (bouteilles d’eau vide, taie d’oreiller sale, moquette sale et étiquette de jouets des précédents occupants qui traîne par terre). Quand nous avons signalé ces désagréments pas une seule des 4 personnes de l’hôtel a qui nous l’avons signalé ne s’est excusé de ces manquements! Il nous a même été répondu que ce type de désagréments pouvaient exister vu le nombre de chambres à nettoyer par jour?! De plus, la télévision de fonctionnait pas (soit disant un problème de réseau?!). Cela n’est clairement pas digne d’un hôtel 4 étoiles!",mimisikool a écrit un avis (nov. 2022),"None, None",bubble_10,no
Très déçue,"Assez déçue de l’hôtel vu le tarif pour une nuit. Nous séjournons à 4 ( 2 adultes et 2 enfants) 1 nuit et 2 jours au parc. Nous n’avons pas eu la bonne chambre, nous devions avoir une chambre supérieure avec lit double nous avons eu une chambre bien plus petite avec un lit superposé juste à 1 mètre de notre lit, la salle de bain était fort sale, des cheveux un peu partout, une douche minable et vieillotte, des essuies avec des taches dessus, des traces de saleté sur la porte… Piscine inaccessible à notre arrivée! (Ça commence à faire beaucoup là) De nos 4 cartes magnétiques pour accéder à la chambre, seule 2 fonctionnait. Les murs des chambres ne sont pas très épais, on entends assez fort les voisins tousser. Nous nous sommes plaint à la réception, soit un service de nettoyage…",Quies a écrit un avis (nov. 2022),"None, None",bubble_10,no
Fini la magie de Disney... Place au fric et à la non compation !,J ai séjourné au newport avec mes enfants de 9 et 4 ans ainsi que mon neveu de 5 ans.   J apprend à mon arrivée qu on me propose de changer d hôtel et de séjourner au newport. Ok j accepte. J arrive donc après ma journée au parc à l hôtel New port et on me donne une chambre au bout d une labyrinthe interminable!  Je me rend vite compte qu étant seule avec les enfants  impossible pour moi de prendre les bagages seule. Je demande donc de l aide à la bagagerie. Un membre du personnel me répond à non on ne fait pas ça! J explique la situation et on me dit non alors on vous les apporte à 21h alors qu il est 18.00!  Je retourne à la réception demandant alors une chambre plus proche des ascenseurs on me donne une autre chambre. Je retourne récupérer les enfants nous passons d une aile…,Assia et nadir a écrit un avis (nov. 2022),"Wezembeek-Oppem, Belgique",bubble_10,yes
Très déçus,"Accueil plus que médiocre à notre arrivée, à part nous remettre une enveloppe avec les cartes, nous n’avons eu aucune explications et pas meme un sourire,  Les chambres sont désuètes, très abîmées a certains endroits,  et le summum reste l’absence de chauffage en plein mois de novembre, quand nous avons demandé de l’aide pour régler la ventilation, on nous a répondu que c’était la soufflerie normale de la chambre et qu’il n’y avait pas de possibilités d’avoir du chauffage. On a demandé à changer de chambre, mais apriori il n’y a pas de chauffage dans l’hôtel …  Dur à digérer au prix de la nuit …   son seul point positif reste sa localisation…",Margaux D a écrit un avis (nov. 2022),"None, None",bubble_20,no
Bien mais éviter piscine,"On a passé une nuit en compass club tout était vraiment top  Seul hic c est que la piscine était froide et que le jacuzzi, il n'y a pas de temps limité et du coup les gens y restent pendant 2h donc on sait pas en profiter après une longue journée de marche Sinon tout était incroyable pour le service compass club",anais a a écrit un avis (nov. 2022),"Ath, Belgique",bubble_40,no
Un bon moment mais…,"Confortable, chambre cocooning, propre après le tarif est vraiment trop élevé pour la qualité du service, beaucoup trop d’attente au Check in je comprend qu’il y a du monde qu’il s’agit d’hôtel pour le tourisme de masse mais prévoyez plus de personnel c’est vraiment désagréable !  Concernant le monde on vient en connaissance de cause on y peut rien. Piscine est top très belle dommage qu’elle ne soit pas plus chaud pour une piscine d’intérieur…  Les restaurants et le petit déjeuné sont vraiment désastreux par contre qualité du services et des plats déplorable  2 nuits serait parfaite pour profiter de cet hôtel mais une nuit est déjà tellement onéreux qu’on s’en contentera",Matthewdi a écrit un avis (oct. 2022),"Saint-Denis, Ile de La Réunion",bubble_40,no
"Elle était super, très bon choix pour un séjour de 3 jours et 3 nuits.","C’est un super hôtel, surtout avec le compass club (VIP payant) ou l’on avait accès à la visite des personnes Disney. On avait également droit à 2 buffet à volonté par jour, préparé par un chef doué. Le parc était relativement proche et le décor époustouflant. Le personnel dans son rôle tout comme la décoration (thème marin). Il y a aussi une piscine énorme en extérieur et en intérieur, une salle de sport et les chambres sont très belles et bien décorées. Le personnel est très souriant.",Vava73 a écrit un avis (oct. 2022),"None, None",bubble_50,no
Séjour à prix d’or mais services loin d’être au niveau et personnel avec préjugé sur l’apparence,"Séjour en Suite Présidentielle. Service voiturier qui ne nous calcule pas vu que nous arrivons en « pauvre » Peugeot. Moments de magie en plus loupés à cause de cela. Chambre non prête à 15h. Plus de milles chambres dans l’hôtel mais la Suite Présidentielle n’est pas prioritaire, normal…? Pas de lit bébé dans la chambre comme demandé donc pas de sieste pour le petit. Pas de bagages non plus dans la chambre. Et quand ils arrivent une heure après, il manque les valises. Aucune des 3 télévisions de la chambre qui fonctionne. A plus de 1700€  la nuit, je n’arrive même pas à trouver les mots pour qualifier les services de l’hôtel. Monsieur Maurizio a finalement tenté de rectifier le tir avec un cadeau et des attentions particulières le lendemain au petit déjeuner et je le remercie…",Jp2099 a écrit un avis (oct. 2022),France,bubble_20,no
Dortoir qui ne mérite pas 4 etoiles,"Accueil et bagagerie excellents. Par contre le reste... jamais été aussi déçue d'un 4 étoiles !! Pas de peignoir, chausson, des produits limités dans la salle de bain refaite avec du cache misère.  La tv minuscule ne sert à rien. Si.vous voulez prendre du temps pour regarder la vue, dans notre chambre on était très déçu d'être au 2nd étage avec vue sur le parking...   Avoir 2 lit pour une chambre 2 personne en couple était inutile ( ça prend de la place et enleve tout côté romantique). Il serait intéressant de changer les draps déchirés des lits... le matelas était cependant très bon. Les boissons et petits plus gratuits sont extrêmement limités et la tapisserie se décolle un peu partout.  Bref c'est un dortoir qui mérite pas ses 4 étoiles. Heureusement le personnel est souriant…",Keramka a écrit un avis (oct. 2022),"Avignon, France",bubble_10,no
Un très bon séjour en amoureux !,"Nous avons séjourné au Newport, pendant deux nuits, en septembre. J'étais déjà venu quelques années auparavant, et j'en gardais un très bon souvenir. Souvenir que je souhaitais partager avec mon petit ami. Nous n'avons pas été déçus !  Le personnel qui nous a accueilli était très gentil, et à l'écoute.  Concernant la chambre, quel bonheur de dormir dans un lit si confortable ! Mention spéciale pour les petites attentions que nous avons eu, dans la chambre (bouteilles d'eau, bouillotte avec thés, cafetière)  Nous étions en pension complète. Les petits déjeuners sont parfaits ! Du choix autant en salé qu'en sucré, bref, nous nous sommes régalés !  Nous recommandons totalement cet hôtel !  Merci à toute l'équipe pour son travail, et sa gentillesse. ",Laurie M a écrit un avis (oct. 2022),"None, None",bubble_40,no
Peut mieux faire...,"Nous avons séjourné du 1er au 2 octobre à l'hôtel Newport Bay Club. Voici notre retour d'expérience ...  Mon épouse étant en fauteuil roulant nous avons pris une chambre PMR et suivant les conseils lors de la réservation nous avons opté pour la version premium soit le Compass Club. Je dois dire que je suis très surpris pour un hôtel 4 étoiles en plus dans sa version premium de la qualité de la prestation….  - chambre PMR oui mais extrêmement petite dans la version Compass nous nous attentions à avoir plus d'espace (je n'ose imaginer la version standard…) - chambre située derrière la machinerie des ascenseurs. Il nous a fallu attendre au moins 2 heures pour trouver le sommeil, l'insonorisation d'un ascenseur est un minimum pour un 4 étoiles. - Je pense que Jafar a dû séjourner…",gfournier a écrit un avis (oct. 2022),"None, None",bubble_10,no
En baisse !,"Déçue. Pas de place dans les restaurants de l'hôtel alors que nous y séjournons. Grande file d'attente pour pouvoir accéder à la réception. Et pas de room service possible le soir alors que ma fille était fiévreuse. Il manque certainement du personnel ! Alors même si l'hôtel est beau et confortable, ça reste léger par rapport au tarif proposé. C'était notre deuxième fois mais nous ne reviendrons certainement pas.",Alex7398 a écrit un avis (sept. 2022),"Noumea, Nouvelle-Calédonie",bubble_20,no
Hôtel vieillot,"En théorie hôtel 4 étoiles. En pratique la chambre maximum 3 étoiles. Salle de bain d’un autre âge, et lit inconfortable. Pour le restaurant buffet aux petits déjeuners et dîners. Ceux ci sont basiques et sans charmes. Rien d’extraordinaire ,mais rien de mauvais non plus.Les tables en bois du restaurant sont aussi d’un autre âge.",Serge G a écrit un avis (sept. 2022),Nandrin,bubble_20,no
Un très bon moment !,"Premier séjour dans cet hôtel et je ne suis pas déçue. La chambre était spacieuse et confortable. Tous les cast members rencontrés sont top ! Quelle gentillesse ! L'hôtel est très grand. Nous avons testé la piscine intérieure, très sympa. On vous prête des serviettes et des casiers gratuits sont à disposition pour ranger ses affaires. Nous avons mangé au Cape Cod le soir, le restaurant est bien mais le buffet ne vaut pas le prix (un peu élevé à mon goût). Pour le petit-déjeuner, il s'agit aussi d'un buffet au même endroit, chacun peut y trouver son compte : céréales, pain, viennoiseries, œufs / bacon, pancakes, café, thé, chocolat, jus de fruits...",malycia6661 a écrit un avis (sept. 2022),"None, None",bubble_40,no
Excellent moment,"Nous avons séjourné à 5 , 2 adultes et 3 enfants,  pour 1 nuit. Personnel au top , sourire, gentillesse 👌. Chambre dans un super état . Tout était nickel . 2 eme fois que nous y séjournons et jamais déçu .  Hôtel magnifique !!!!",Nawel K a écrit un avis (sept. 2022),"None, None",bubble_50,yes
Propreté très douteuse,"Chambre lamentable pour un hôtel 4 étoiles , toiles d’araignée dans les 4 coins de la chambre au plafond , les deux matelas avec les ressorts qui rentre dans le dos qui sont bon à changer , moisissure autour de la baignoire et le support de vitre de la baignoire bon à changer et qui coule sur le banc (merci les habits mouillé ), en plus des 4 ascenseur qui tourne toute la nuit car ma chambre était juste en face au 3eme étage  support de pommeau de douche ne tien pas , bref ce n’est pas sérieux pour un hôtel comme le vôtre standing  même des 1 étoile font mieux  . Ce n’est pas mes habitude d’écrire des commentaires , mais la vue le prix …",Pioupiou57970 a écrit un avis (sept. 2022),"Thionville, France",bubble_30,no
Séjour en famille avec enfants,"Nous avons passé une nuitée à 4 avec 2 enfants en chambre Compas Club La chambre était belle, spacieuse et confortable. On a été accueilli au petit soin du début jusqu’à la fin! Côté nourriture, si vous été en compas club le choix est varié pour le goûter ainsi que le petit déjeuner. Tout était goûteux et super bon !! Et enfin la piscine était accessible et très propre !  Les petits à améliorer - l’attente au restaurant Cap Cod malgré notre réservation  - pas de capsule de café dans notre chambre mais le personnel a vite rectifié le problème",Zazavn a écrit un avis (sept. 2022),"Paris, France",bubble_50,yes
Au top,"Premier séjour pour nous au New Port et en compass club en plus! Magnifique hôtel, les cast member sont super sympa et la chambre parfaite !  Nous avions une vue sur le lac imprenable ! Petit bémol un peu difficile d'accès avec poussette (1 seul ascenseur pour monter au rez-de-chaussée) mais sinon j'ai adoré ! Je reviendrai avec grand plaisir !  Et le petit déjeuner du compass club juste PARFAIT  ",DisneyDreams1420 a écrit un avis (sept. 2022),"Le Muy, France",bubble_50,yes
Décevant,Attente de plus de 30 min à la réception.  Chambre vétuste Drap et essuis non remplacés sauf sur demande Tasses café non remplacées  Max 3 étoiles et prix exorbitants pour la qualité du services et la propreté de l hotel,Pas K a écrit un avis (sept. 2022),"Herve, Belgium",bubble_30,no
Beaucoup trop cher pour la qualité des prestations.,"Beaucoup trop cher pour la qualité des prestations.  Les deux  avantages de résider dans un hôtel Disney, sont:  Voir les personnages au petit déjeuner ou dîner Accéder au Park 1 heure avant l'ouverture officielle. Plus de personnages Disney au petit déjeuner ou au diner. Les enfants étaient extrêmement déçus.  Nous avions decider que malgré le prix excecifs de la chambre et des repas, nous logerions et prendrions nos repas a l'hotel pour voir les personnages. Avons du faire 1h15 de queue pour la photo avec Disney dans le parc. Toujours d'actualité mais nous avons quand même fait 30 minutes d'attente, pour une attraction, étant arrivé à 8h30.  Repas petit déjeuner comme dîner: la quantité est la, pas forcément la qualité.  Chambre familiale : ok pour la pièce par contre salle de…",David Gousset a écrit un avis (sept. 2022),"Antibes, France",bubble_20,no
Un peu déçus par la chambre,"Nous sommes de grands fans de Disneyland Paris dans notre famille, personnellement effectué 5 séjours et fait le 1er en famille pour les 5 ans de mon fils ainé fin avril dernier, en ce qui concerne l'hôtel l'extérieur très beau, le hall également, la chambre un peu petite mais très belle vue sur le lac, très bon accueil et les petites attentions pour notre fils qui fêtait ses 5 ans le lendemain de notre arrivée, il a eu le droit à un petit déjeuner offert avec les personnages Disney dans le parc, très sympa, il avait un petit badge anniversaire et le personnel des attractions lui souhaitait un joyeux anniversaire à chacune de ses entrées, le coup de téléphone de Mickey pour le lui souhaiter également et surtout le droit de piloter le bateau Mark Twain top ! pour le prix du…",STEPHIE 29 a écrit un avis (sept. 2022),"None, None",bubble_40,no
Bon séjour,Je trouve cet hôtel particulièrement typique et ayant un cachet propre. Ses formes extérieures sont originales.  La chambre était suffisamment spacieuse.  Petit déjeuner très complet avec un personnel attentif et sympathique qui vous guide jusqu'à votre table.,116christopher a écrit un avis (août 2022),"Bruxelles, Belgique",bubble_50,no
"Si VIP , ce sera le rêve! Si pas VIP ,il n y a pas de rêve","Beau! piscine.+  Mais le rêve vendu ,je ne l ai pas vécu. Personnel peu souriant. On n a pas été prévenu que la chambre était accessible. Or ns devions recevoir un SMS.Un repas servi en chambre :10 euros en plus ,sauf si VIP (mais pas dit sur la carte)cela n est donc pas honnête. En fait, l hôtel est bien mais le client n a rien d un roi ,c est un numéro qui paye. J ai vraiment été déçu:c est la première fois que je ressens cela dans un hôtel (je voyage beaucoup)et je tenais à le partager.",familleJMGlaude a écrit un avis (août 2022),"Recogne (Neufchateau), Belgique",bubble_10,no
en famille ,"Nous étions déjà venu précédemment dans cet hôtel mais cette fois nous avons opté pour la formule Compass Club.  Service vraiment au top avec une eau, frigo et café/thé en chambre. Petit déjeuner très bon tout comme la collation de 16h avec toujours un choux sucré/sallé. A 10 min à pied du parc un vrai plus Seul bémol, le 2ème jour notre chambre n a été faite que vers 19h et on ne remplace pas la bouteille d eau vide (juste nouveaux verres) et le dernier jour nous avions la chambre jusque 11h et à notre retour vers 10h30 elle etait déjà nettoyée (nos bouteilles d eau jetées ainsi que quelques paquets de biscuits aussi ) pour les suivants alors que nos valises ouvertes etaient toujours présentes et le check-out pas encore fait.  Service conciergerie pour les bagages au top La…",Cacahuette5 a écrit un avis (août 2022),"Bruxelles, Belgique",bubble_40,no
"Très bien mais malheureusement, le rapport qualité-prix n'est pas au rendez-vous...","Nous avons pris un forfait ""hôtel-pass parc"" pour 4 personnes (2 adultes et 2 ados) pour 2 nuits/3 jours au Compass Club du Newport Bay Club.  Nous avons aimé : - l'architecture Cottages du Cap Cod  - son emplacement à 10 minutes de l'entrée du parc et à 5 minutes de Disney Village - l'atmosphère magique à la nuit tombée quand tout est illuminé - l'immense piscine intérieure qui est aussi ouverte vers l'extérieur - l'accueil personnalisé au Compass Club (très classe) - le Compass Club Lounge pour le petit-déjeuner - l'efficacité et l'amabilité du concierge qui a réussi à nous dénicher une table au restaurant de l'hôtel alors qu'il était complet - la décoration intérieure très soignée et luxueuse (chambres et parties communes) qui vous donne l'impression d'être dans un bateau de…",Chris C a écrit un avis (août 2022),"Paris, France",bubble_40,yes
La magie Disney au rendez-vous,"Le Newport Bay Club est un  hôtel magnifique, nous y avons sejourné et avons la grande joie d'y retourner très prochainement puisque nous y séjournerons du 12 au 14 septembre prochain pour fêter les 18 ans de notre fille. Lors de notre dernier séjour nous avions eu l'immense bonheur d'être surclassés et la suite que l'hôtel nous a atrribué était fabuleuse! Nous ne doutons pas que les chambres en club compas sont également très charmantes ( je ne manquerai pas de mettre en avis à notre retour puisque nous avons réservé en septembre ce type de chambre supérieure compas club).  Le personnel de cet hôtel est charmant, aux petits soins, la magie Disney opère et est présente à chaque instant, les services proposés sont à la hauteur, on nous plonge dans cettte magie dont seul…",christelle p a écrit un avis (août 2022),"Reims, France",bubble_50,yes
Quatre étoiles… jamais de la vie…,"Quatre étoiles? Jamais de la vie!!! 2 étoiles au mieux…selon les normes françaises ou celles de la région parisienne. On fait la queue pour tout : Check-in, bagages, contrôles de sécurité (et oui!), restaurant… Les chambres datent de la création du parc… au moins 30 ans. Le personnel est aimable mais fait t ce qu’il peut car en sous-effectif notoire… Pas de bouteilles d’eau pas de minibar, une cafetière mais pas de café… Nous sommes sensés récupérer la chambre à 15:00 mais quand on arrive on me dit À PARTIR de 15:00 sans donner d’horaire… On fait le parc le lendemain et rentrons nous reposer à 15:00: la chambre n’est pas faite… J’appelle plusieurs fois pour que la chambre soit faite… Bref… à éviter absolument…Bon pour les touristes pas très regardant…",OlivierLatour a écrit un avis (août 2022),"13e Arr. – Gobelins, France",bubble_10,no
Excellent ,"Hôtel au top, accueil, service personnel tout était parfait. Petit-déjeuner et restaurant très correct avec également un large choix. La chambre était top également juste la salle de bain qui est vieillotte mais convenable. Manquerai juste un petit frigo pour nous voyageurs ou nous avons des glacières pour nos trajets. Presence des personnages disney le soir genial pour nos enfants. Nous reviendrons dans votre établissement sans hésiter . ",Moulinroty a écrit un avis (août 2022),"None, None",bubble_50,no
Magique séjour,"C est la 2ème fois en 2 ans que je vais dans cet hôtel en compass club. J avais économisé et cette année j ai fais le choix d'une suite (la vice presidentielle). Je le choisis car tout les casts members sont aux petits soins pour nous, toujours le sourire. L accueil dans la chambre a été plus que magique avec le magnifique bouquet de fleurs, les macarons et le champagne. Merci encore. La vue sur le lac et de pouvoir voir le feu d artifice esf un plus. Le petit-déjeuner est plus que suffisant avec un large choix de produits. Pour la collation de 16h, il y a la possibilité d'avoir du sucré ou du salé.",aurelie63170 a écrit un avis (août 2022),"Aubiere, France",bubble_50,yes
Le bateau aurait il pris l’eau ?,"Hôtel aux prestations budgétaires excessives pour un hôtel lambda. Pas de mini bar, pour boire un coup il faut téléphoner et faire le tour de mars. Pas de frigo pour stocker du lait pour enfant…  Nous avions réservé 2 nuits et 2 repas au restaurant pour apprendre sur place qu’un seul repas sera honoré et le 2e devra se prendre ailleurs… SU-PER",Qjacquot25 a écrit un avis (août 2022),"None, None",bubble_30,no
Le meilleur hôtel Disney,"Nous avons adoré notre séjour au Newport !! Nous avions l’impression d’être dans un hôtel de luxe. L’accueil est irréprochable, la chambre magnifique, la propreté et la décoration exceptionnelles. Absolument rien à redire !! Nous avons testé la piscine de l’hôtel, quel bonheur ! Prenez le temps d’y faire un tour, vous ne le regretterez pas. Nous reviendrons séjourner dans cet hôtel, nous aurions aimé y rester toute une semaine tellement ce fut un plaisir d’y dormir.",CP a écrit un avis (août 2022),"None, None",bubble_50,no
Un excellent séjour,"Un séjour de deux nuits. Une immersion dans un bateau incroyable, des repas de qualités comme toujours ,une très jolie piscine et surtout un personnelle souriant et accueillant Je reviendrai dès que possible",Louise V a écrit un avis (juil. 2022),"None, None",bubble_50,yes
