titre_comm,comm,dateAvis,dateSejour,loc,note,photo,id
Voor herhaling vatbaar,"Hotel New York, The art of Marvel was een supergezellig lokatie met vriendelijke, Behulpzame mensen met een vrolijke sfeer. Ik ga het personeel allemaal missen. Is zeker voor herhaling vatbaar. Het eten voor vegans is ook in orde en heel lekker. Top",SheltieChauny a écrit un avis (6 déc.),Date du séjour : décembre 2022,"Poelkapelle, Belgique",bubble_50,yes,"SheltieChauny a écrit un avis (6 déc.)Poelkapelle, Belgiquebubble_50"
"Very expensive, no super heroes in the hotel and bad service!!","We had high expectations since we paid 1200 for one nigt, and were very disappointed. There are no super heroes in the hotel. The service is very poor, especially in the buffet restaurant. Rooms are nice and big and you are close to Disney park, but price quality is poor and the absence of super heroes of Marvel makes it for children a very disappointing visit. We would not recommended this hotel as the expectations won't meet what you hope to get.",lex a écrit un avis (5 déc.),Date du séjour : décembre 2022,Pays-Bas,bubble_20,no,lex a écrit un avis (5 déc.)Pays-Basbubble_20
"The definition of luxury, the hotel of your Marvel dreams","This hotel made our Disney and Marvel dreams come true. I came here with my wife and our 2 year old son. I booked a standard room. We got upgraded to the Super Hero Suite for free! With all of the VIP amenities included : VIP reception, VIP breakfast, Empire State Longue and more. We were so excited and touched by how the staff treated us from the start to the end, and being close to Disneyland Paris was the cherry on top. Thank you so much for this magical and unreal experience!",Nadav BH a écrit un avis (3 déc.),Date du séjour : décembre 2022,"Rehovot, Israël",bubble_50,no,"Nadav BH a écrit un avis (3 déc.)Rehovot, Israëlbubble_50"
Hält wiederholt nicht was es verspricht,"Der Parc Disney ist immer eine Reise wert, auch diesmal war es wunderschön. Leider lässt dagegen das Marvel Hotel New York immer mehr nach und verkommt zur reinen Abzocke. Wir hatten ein Empire State Club Zimmer gebucht für 1100 Euro pro Nacht incl. Parkeintritt. Positiv: Die Eingangshalle. Schluss, mehr nicht. Negativ: Der Service in der Rezeption ist dramatisch schlecht und überhaupt nicht interessiert daran Gästewünsche zu erfüllen. Die Zimmer werden von Jahr zu Jahr schmutziger, die Hotelflure sind dramatisch verdreckt, auch auf dem Empire State Club Flur. Die Lounge im 6.Stock ist ein Witz, spärliches Getränkeangebot, kein Essen, nicht mal Nüsse. Die Lounge im EG ist schön eingerichtet, das Essen ist schlecht, oft kalt und meistens fehlt etwas. Zu wenig gesunde Sachen,…",FWMZ a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Mayence, Allemagne",bubble_20,no,"FWMZ a écrit un avis (nov. 2022)Mayence, Allemagnebubble_20"
Je m'attendais à mieux...,"Un peu déçue de l'hôtel. Très belles chambres, literie et personnel top mais petit déjeuner très classique et le côté Marvel est un peu surfait. Je n'ai été ni dépaysée ni charmée comme je l'avais été à  l'hôtel Disneyland. De plus, aucune réduction ou fast pass offert. Trop cher par rapport aux prestations.",cdelp62100 a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"None, None",bubble_40,no,"cdelp62100 a écrit un avis (nov. 2022)None, Nonebubble_40"
Amazing location!,"This was my 10th trip to Disney, 1st time to stay in HNY (I have eaten dinner here before pre renovations). Very impressed with the hotel and the renovations, the Marvel theming is excellent. We arrived around lunch time and were delighted to be told our room was ready. The room was clean, modern and spacious. The staff were excellent everywhere, nothing was too much trouble. There was a minor issue with our magic passes at check in but the lady on reception quickly sorted this out for us.  We had a Disney meal plan and had breakfast and dinner in the hotel, both excellent, lots of choice, food was hot etc.  The kids loved the perk of the superhero station, a wonderful amenity. The pool area was also enjoyed by us, the pool is huge, maybe a little cold but not a problem.   The…",Shivers2612 a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Kildare, Irlande",bubble_50,no,"Shivers2612 a écrit un avis (nov. 2022)Kildare, Irlandebubble_50"
Ravie,"Nous avons vraiment apprécié notre nuit dans cet hôtel, les chambres sont comme sur les photos.  Le miroir qui en fait est une télé, trop classe, les lits sont super confortables. L hôtel est juste magnifique avec à chaque étage un personnage Marvel.   J ai pas mis 5 étoiles, car je trouve que vu le prix que nous payons, nous pourrions au moins avoir le petit déjeuner compris ( ne serais ce qu un simple buffet à volonté avec des viennoiseries), mais au moins dans les chambres nous avons du café à disposition, C est déjà ça.   En tout cas nous resterons enchanté de notre séjour. ",Marion P a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"None, None",bubble_40,no,"Marion P a écrit un avis (nov. 2022)None, Nonebubble_40"
تجربة سيئه للفندق ,السعر مبالغ فيه و الروم سيرفيس سيء جدا لا يوجد تنظيف للارضيات فقط ترتيب و اغلب الاغطيه يتم ترتيبها وليس تبديلها بغطاء جديد و تمت سرقه المنشفه الخاصه بي علما بان لونها ليس بلون مناشف الفندق وكانو على علم ولم يتم استرجاعها  والغرفه لم تكن مجهزة للضيوف من ناحيه الحذاء المنزلي و روب الاستحمام ,Brjwana B a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"None, None",bubble_20,no,"Brjwana B a écrit un avis (nov. 2022)None, Nonebubble_20"
"Buen Hotel, excelente ubicación","Las habitaciones y baño muy amplios, la decoración muy bonita en especial para los apasionados de Marvel. Buena limpieza. El desayuno bufet está muy bien y variado. Y las cenas están bien pero tampoco para tirar cohetes, eso si los postres con temática de Marvel te les comerías todos. Nosotros una de las cenas nos fue imposible reservar antes de ir, una vez allí en la recepción nos consiguieron reservar cena sin problema en el  restaurante bufet que es el que queríamos. Está a 5 minutos andando a los parques por lo que es muy cómodo si se necesita volver al hotel y justo al lado del Village y muy cerquita de parada tren que esta alado village.  Encuentros con los personajes Marvel, geniales. A nosotros nos tocó Spiderman y después nos pudimos hacer fotos en escenarios de Marvel.…",Mamen a écrit un avis (nov. 2022),Date du séjour : mai 2022,"Santander, Espagne",bubble_40,yes,"Mamen a écrit un avis (nov. 2022)Santander, Espagnebubble_40"
Nice hotel but reception staff were incompetent,"Really nice hotel, absolutely great location, really nicely furnished/decorated, definitely worth the premium of being so close to the park for convenience.  Overall service was terrible though.  We were travelling with a 2yr8mo old and 8 month old. Before we travelled I emailed the hotel to request that a baby cot be placed in our room for our youngest. The hotel responded quickly saying this would not be a problem and it would be done.  we arrived at the hotel at around 0830. Obviously check in was later which was fine, we were quickly seen by reception and given our magic passes. At this time I spoke the gentleman and reminded about the cot in the room - he said it was already added onto the system, the note was there and it would be there when we got the room at 1500 - so…",bhav987 a écrit un avis (nov. 2022),Date du séjour : novembre 2022,london,bubble_30,no,bhav987 a écrit un avis (nov. 2022)londonbubble_30
Avis mitigé,"Bel hôtel neuf et magique aux yeux de nos enfants  mais en regardant de plus près surtout vu le prix en supérieur pour 3 nuits , les chambres ne sont pas faites correctement ( linge sale taché oublié dans notre chambre , bouteille d’eau de bienvenue le 1 er jour mais pas les jours suivants , capsules de café pas remplacer , serviette de bain sale pas changé mais repliée pour faire croire que .. Les lits sont en 140 et heureusement qu’on est assez fins  Faire la queue pour boire un coup au bar c’est pas super après une journée éreintante aux parcs  Resto , self ou petit dej …. Comme partout dans Disney moyen moyen",Jennifer S a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Calvi, France",bubble_30,no,"Jennifer S a écrit un avis (nov. 2022)Calvi, Francebubble_30"
FABULEUX,"Superbe accueil des castmembers que ce soit à la réception, la conciergerie, la bagagerie ou dans les restaurants. L’hôtel est magnifiquement rénové, le hall d’entrée est juste wawhou, on en prend plein les yeux et le nez (j’adore le parfum d’ambiance diffusé!). Je disposais d’une chambre avec un grand lit double, très jolie, très propre et très grande, avec tout le confort nécessaire. La TV intégrée dans le miroir est super chouette. J’ai aimé la vue de ma chambre sur le lac, la proximité de l’hôtel avec Disney Village et les parcs. J’ai pu profiter d’une expérience au bar Skyline et au restaurant Manhattan. Je suis désolée, je ne trouve pas de points négatifs, tout était parfait ! Chambre 5240.",poutyx a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Toulouse, France",bubble_50,yes,"poutyx a écrit un avis (nov. 2022)Toulouse, Francebubble_50"
WHAT A HOTEL!!!,WHAT A HOTEL! We came for christmas and this hotel had just opened. We was originally booked in the main pink disney hotel but was closed for renovations and was given this as a alternate. DID NOT DISSAPOINT. Amazingly themed. Bars was fantastic had some brilliant drinks. The food was outstanding. Staff polite. 5 min walk to both theme parks. The rooms were fantastic super modern. We decided this was the only hotel we would stay when go to disney from now on. WORTH THE MONEY,aimeejemma a écrit un avis (nov. 2022),Date du séjour : décembre 2021,"None, None",bubble_50,no,"aimeejemma a écrit un avis (nov. 2022)None, Nonebubble_50"
Muy recomendable,"Estuvimos 5 días en el hotel y solo puedo decir que es una pasada!!! Las habitaciones muy amplias, la decoración muy bonita y los baños muy limpios.  El desayuno está muy bien Cenamos una noche en el restaurante a la carta y por ser un 4 estrellas no me terminó de gustar El personal muy amable. Casi todo el mundo habla español El día de la salida no me encontraba bien y en vez de dejar la habitación a las 11 me dejaron quedarme hasta las 13 Está a 5 minutos andando a los parques por lo que es muy cómodo y justo al lado del Village. No es un hotel barato pero si volvemos, repetiremos!!!",LANDRESTOMAS a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Palma de Majorque, Espagne",bubble_50,no,"LANDRESTOMAS a écrit un avis (nov. 2022)Palma de Majorque, Espagnebubble_50"
Inacceptable,Lors de la réservation j avais demandé des chambres communicantes l agent de resa m a dit que ce n était pas possible car j avais réservé une chambre supérieure et une chambre supérieure vue jardin (plus cher). Elle m a confirmé que si je prenais deux chambres supérieures vue jardin ce serait possible ce que j ai fait. A l arrivée quelle fut ma déception quand je me suis aperçue que je n avais pas de chambres communicantes. De plus une des deux chambres n avait pas accès à la télé.dans l autre il manquait le robinet d eau chaude. Nous avons dû appeler le service technique à 22h qui a dû intervenir 3 fois. Résultat à 7h c était toujours le même problème le robinet d eau chaude tournait dans le vide. Enfin dans l une des deux chambres il y avait des macarons et pas dans l autre…,MILOCHE1978 a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Paris, France",bubble_10,yes,"MILOCHE1978 a écrit un avis (nov. 2022)Paris, Francebubble_10"
MARVELIFIQUE !,"Petits soucis avec mon Magic Pass où il manquait deux coupons repas  inclus dans la pension complète. Perte de temps à la réception ou j'ai du y retourner 2 fois car le personnel ne comprenait vraisemblablement pas très bien le principe des Voucher ""pension complète"" pour deux personnes sur deux jours, ce qui fait entre autres 8 repas et non 6.  La chambre très agréable, bien qu'il manquait les peignoirs et les chaussons qu'il a fallu réclamer.  La boutique, la conciergerie et l'ensemble du personnel sont très accueillants et bienveillants dans l'ensemble. Magnifique piscine pour se détendre, accueil sympathique. Le + étant le restaurant Manhattan, malgré l'attente trop longue à l'entrée le soir, cadre magnifique, nourriture italienne raffinée, personnel pro. Les petits…",Fabrice75019 a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Paris, France",bubble_40,yes,"Fabrice75019 a écrit un avis (nov. 2022)Paris, Francebubble_40"
Évitez d'être au dessus des restaurants,"Hôtel situé à 10 min à pied des parcs Disney et Studio.  Il est magnifiquement décoré,le personnel est chaleureux, les chambres propres et spatieuses. Les enfants ont adoré. Gros bémol, les chambres situées au dessus des restaurants sont mal insonorisées, les bruits de chaises dès 7h sont horribles.",Davy B a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Villiers-sur-Marne, France",bubble_40,no,"Davy B a écrit un avis (nov. 2022)Villiers-sur-Marne, Francebubble_40"
The first Disney & Marvel Hotel Experience,"Clearly this isn’t the typical hotel I would stay… but since Disneyland Hotel is close for renovation, and my partner loves Marvel, this seems to be the best choice during our visit to Disneyland Paris.   We book the 2D1N Package directly with Disney, unsure why I couldn’t change the room category during booking, and it’s defaulted to Superior Rooms category which is their lowest. Room is standard as expected for a themepark hotel, decorated with Marvel posters – ours with Spiderman theme. Nothing to shout out, just comfy clean room and 10-15minutes walk to the park entrance depending on your speed. You’ll also stroll along the shops and restaurants along the way.   I’ll recommend spending some time checking out their facilities which we didn’t, and just the bar. We went to the…",Cal_TheHotelLover a écrit un avis (nov. 2022),Date du séjour : mai 2022,"Kuala Lumpur, Malaisie",bubble_40,yes,"Cal_TheHotelLover a écrit un avis (nov. 2022)Kuala Lumpur, Malaisiebubble_40"
Deception,Bonjour Un peu déçue par l'hôtel qui est je trouve froid  Le personnel était également froid  Je suis allée dans deux autres hôtels à Disney  et ils étaient beaucoup plus chaleureux et cosy  La chambre était bruyante bruits de chaises de pas donc mal insonorisée Dommage pour nous  ,Pioneer689699 a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"None, None",bubble_30,no,"Pioneer689699 a écrit un avis (nov. 2022)None, Nonebubble_30"
Magico,"Ho soggiornato purtroppo solo una notte in questo hotel magico: la posizione davvero strategica in quanto posizionato proprio a due passi dal parco, attaccato al Disney village quindi comodo per raggiungere tutto. L’hotel completamente nuovo davvero all’avanguardia: bellissima la struttura in stile grattacieli di New York. Le stanze sono bellissime, moderne e enormi, con un letto comodo e grande. Bello anche il divano. La parte più bella per me è stata la tv posizionata dietro a uno specchio che una volta accesa riportava una scritta di benvenuto con il mio nome/il nome della prenotazione. Nota negativa: purtroppo il bagno era molto sporco, peli sul gabinetto e capelli e polvere a terra. Peccato per questa negativa. Personale tutto super gentile: servizio bagagli perfetto, non…",Greta C a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"Settimo Torinese, Italie",bubble_40,yes,"Greta C a écrit un avis (nov. 2022)Settimo Torinese, Italiebubble_40"
Great hotel,Loved it here. Great rooms with good amenities and very clean. Comfy beds too! Hotel food was good for both breakfast and dinner with great choice for all the family. Great meets with Marvel characters too. Really near the park too.,Louise C a écrit un avis (nov. 2022),Date du séjour : octobre 2022,"None, None",bubble_50,no,"Louise C a écrit un avis (nov. 2022)None, Nonebubble_50"
Ne mérite pas ses 4 étoiles ,"Hôtel refait à neuf et pourtant déjà en si mauvais état. Le miroir de la salle de bain tombe en ruine, les montants de porte cassés, la vitre de la fenêtre brisée, la télé et le téléphone en panne. Le lit parapluie demande par mail oublié à notre arrivée. nous avons du attendre 1 heure pour en récupérer un. Il était 23h30 quand nous vous pu coucher notre bébé.Les lits sont des 140 cm seulement. Comment cela est il possible dans un 4 étoiles ? Nous attendons encore les petites attentions promises pour nos 3 enfants. Petit déjeuner excellent. Nous avons eu à faire des jeunes femmes très aimables à l accueil et au petit déjeuner mais fort désagréable à la conciergerie. Si vous n aimez pas votre travail changez en. Bref un établissement qui ne vaut ses 4 étoiles que par le tarif.",Amélie A a écrit un avis (oct. 2022),Date du séjour : octobre 2022,"None, None",bubble_30,yes,"Amélie A a écrit un avis (oct. 2022)None, Nonebubble_30"
Good for cocktails!!,"I’ve stayed in many nice hotels in my time, mainly for work. This hotel equates to a nice Hilton… it’s only 4* and had to remind myself of that as a few things let it down.  The beds in what I assume are the basic family rooms (although they call them superior) are only double beds, not king or queen which I found odd. We had two doubles. I’m not used to sleeping so close to my husband haha!  The bed and pillows were basic.  There didn’t seem to be any movies on in the room not even Disney+, I had to connect my own account to it.  We only got water bottles on the first arrival and they weren’t replenished. Nor the vanity box.  BUT the cocktails were really good! Which is lacking in Disney so worth staying for location and cocktails!   Food was nice, if overpriced a bit,…",Jennie B a écrit un avis (oct. 2022),Date du séjour : octobre 2022,"None, None",bubble_40,no,"Jennie B a écrit un avis (oct. 2022)None, Nonebubble_40"
Ok. But not magical,First trip to Disney and was surprised at check in there is Zero guidance from hotel on Disneyland. Only info in room is the in room dining menu. Nothing on on magic hour / firework display or any information about bus or walk there. Is like they expect everyone to know! There’s no difference during the day (after magic hour) if have hotel pass and have to queue in general queue if go out back to hotel for lunch and come in again so waiting behind people who need to scan through when only need to show magic pass.  Separate queue for hotel guests would be good.   There is No priority if you stay at hotel for booking the hotel restaurants. Difficulty is if total newbie like me no idea when to book so want to leave it open. Therefore end up potentially without being able to eat at…,FerryWind a écrit un avis (oct. 2022),Date du séjour : octobre 2022,London,bubble_30,no,FerryWind a écrit un avis (oct. 2022)Londonbubble_30
Excellent!,"Excellent first impressions of the hotel. My 3 year old daughter was unwell on check in so the receptionist found us a room earlier than 3pm so we could call a first aider. Then we had a doctor to visit within 3 hours and antibiotics delivered. All excellent. Thank you!  The room was extremely hot and uncomfortable on our 1st day, the hotel had run out of fans which is understandable! I think they had turned the AC off in the rooms but thank goodness a technician switched it on as we honestly couldn’t have slept in the room as it was so hot.  We didn’t use any of the facilities as were busy in the parks. It’s a beautiful hotel with stunning grounds. Very friendly and helpful staff.  It’s a shame the room service menu is so expensive but we used Ubereats and that was fantastic if…",sunseasandtime a écrit un avis (oct. 2022),Date du séjour : octobre 2022,"Conwy, Royaume-Uni",bubble_50,yes,"sunseasandtime a écrit un avis (oct. 2022)Conwy, Royaume-Unibubble_50"
"Nice, newer hotel close to the action","Hotel New York is nice and new and in a good location, being one of the closer hotels to the parks and an easy walk. We stayed in a Superior Room w/ a Garden Terrace, which was a nice and spacious room with a couch area and a comfortable bed. However,  the Garden Terrace was not worth it. The terraces are not private in the sense that they face the walkways coming from the park. Our TV also didn't work the first day.  The Skyline Bar is, contrary to what you'd think, on the ground floor- though it was pretty nice and easy to pop in for a quick drink. The buffet breakfast was good and had a nice selection, though surprisingly no Mickey Mouse waffles. The dinner buffet was also pretty good and had cute Disney-themed desserts.  Overall, you know that you're going to pay more to…",Toni M a écrit un avis (oct. 2022),Date du séjour : septembre 2022,"Londres, Royaume-Uni",bubble_40,no,"Toni M a écrit un avis (oct. 2022)Londres, Royaume-Unibubble_40"
Our third trip to Disney,"We have been to Orlando twice and wanted to experience the Paris Disneyland. The chosen hotel was an excellent choice. Location is perfect, room is fantastic, view is great. Staff are very friendly and supportive in all ways. The service offerings were great. If we were to go to Disneyland Paris again we will stay in this hotel.  Thank you to all in making our experience so good. Highly recommend. ",Robert M a écrit un avis (oct. 2022),Date du séjour : octobre 2022,"Pretoria, Afrique du Sud",bubble_50,yes,"Robert M a écrit un avis (oct. 2022)Pretoria, Afrique du Sudbubble_50"
