titre_comm,comm,date,loc,note,photo
Séjour à l’hôtel santa fe,"Hôtel dans son jus.  Mérite un bon rafraîchissement. Néanmoins le personnel est très sympathique, les services sont top. Le buffet il y en as pour tout les goûts. Bon week-end passe à Disneyland. Nous reviendrons sûrement pas mais bien quand même",Laetitia L a écrit un avis (nov. 2022),"Mexy, France",bubble_30,no
A 4 minutes du parc,"Accueil cordiale, un petit Starbucks juste à côté. Chambre de taille correcte et propre. Sèche-cheveux et coffre-fort disponibles. Points négatifs : pas de bouilloire, thé+café et frigo pour le prix payé. Au dîner,   buffet bien garni et pour le petit-déjeuner buffet également  pratiquement les mêmes tous les soirs. Parking,  navette aller-retour parc Disney disponible tout les 15 minutes. Dépose bagage gratuit. Un centre commercial se trouve pas loin.",chamane974 a écrit un avis (oct. 2022),"Saint-Paul, Ile de La Réunion",bubble_40,yes
Genial,"Nous remercions l'équipe du santa fe qui est parfaite. Accueil irréprochable, chambre niquel propreté irréprochable aussi. C'était une première pour nos enfants et ben on reviendra car vraiment du début jusqu'à la fin on est accompagné le petit déjeuner et le dîner sont super il y en a pour tout les goûts. La encore le personnel est génial malgré que certains client leur manque de respect. Enfin compter sur nous on reviendra ",Jessica A a écrit un avis (oct. 2022),"Nice, France",bubble_50,yes
Assez déçu," Nous y sommes allés le 1er septembre, période calme dans le parc. Cet hôtel fait parti des moins cher de la destination mais je ne m'attendais pas à être très mal reçu. Comme tout les hôtels Disney, il faut se rendre à la réception à notre arrivée pour récupérer les magic pass, pour une fois il n'y avait pas grand monde. Malheureusement nous avons eu l'impression de déranger, on nous as juste donné les magic pass, le plan de l'hôtel et nous avons été assez rapidement expédié. Le castmember qui s'est occupé de nous n'était pas très aimable et voulait juste se débarrasser de nous. Cela a gâché la magie Disney dès notre arrivée. Dans les autres hôtels que nous avons fait les Castmembers ont prit le temps de tout nous expliquer en détails et tout cela avec le sourire.  A notre…",Chloe a écrit un avis (sept. 2022),"None, None",bubble_20,no
Parfait,"Hotel très bien situé à quelques minutes des parcs en navette. Accueil impeccable en moins de 5 mn nous avions nos pass et toutes les indications nécessaires. La chambre était impeccable. Un joli décor ""cars"" qui a ravi petits et grands. Nous étions au calme. Parfait.",AmaGui37 a écrit un avis (août 2022),"Tours, France",bubble_50,no
Problème de communication,"Nous avons logé à l’hôtel santa fe 3j/2nuits en demi pension, 2 adultes, 2 enfants. Le jour de notre arrivée à l’hôtel, le checkin très rapide, étant en invalidité j’ai effectué une demande de carte prioritaire un mois avant par internet, comme me l’a indiqué la centrale de réservation Disneyland et qui m’a indiqué que ma carte me sera remise à l’hôtel le jour de mon arrivée. Je demande à la dame qui me remet le dossier la carte, elle me dit, il faut vous rendre à la conciergerie de l’hôtel, là je tombe sur une dame très charmante….:« qu’est ce que j’en sais moi si vous avez droit à la carte, moi je sais pas ». Je lui explique la démarche que j’ai effectué, elle me dit qu’il faut que je me rende au parc à l’entrée car elle n’a pas été formée pour ça et que ça semble trop…",Chris a écrit un avis (août 2022),"Perpignan, France",bubble_20,no
hôtel simple niveau formule 1,"On connait cet hôtel et nous y avons déjà séjourné. Ce n'est pas notre hôtel préféré, on y va vraiment quand on veut payé moins cher par rapport au sequoia golden forest; C'est un hôtel à 450€ la nuit nous y sommes restés 3 nuits. C'est déjà très cher car nous n'avons ni cafetière, ni réfrégérateur, ni peignoirs, ni bouteille d'eau. On y dort bien mais on trouve que le prix est excessif en période haute car il n'a rien d'exceptionnel. Dans le tarif, le petit déjeuner n'est pas compris.  J'ai oublié aucune clim sauf un ventilateur au plafond. C'est un hôtel basique de basique à part la déco. On n'a fait tous les hôtes disney et c'est celui qui n'apporte rien en style de confort. On ne comprend pas pourquoi à ce tarif là, on n'a pas le confort nécessaire.  On le conseille pour…",276sally a écrit un avis (août 2022),"Marseille, France",bubble_30,no
Nous reviendrons,"Ayant été à cet hôtel il y a quelques années, j’ai tenue à y retourner avec ma famille.  Accueil chaleureux, de tres bonnes explications pour notre séjour, chambre dans le thème de Cars, nous avons tres bien dormi sans aucun dérangement sonore.   Nous n’avons pas manger à l’hôtel ayant privilégié le parc.   Parking gratuit à l’hôtel et pouvant laisser la voiture le dernier jour sans soucis.   Je recommande",Laura L a écrit un avis (août 2022),"Steinsoultz, France",bubble_50,no
Hôtel Santa Fe à oublier,"J’y ai séjourné du 10 au 11 août et très déçu d’abord on nous a mis dans le bloc 14 le plus loin de la réception à l’autre bout, quand on est arrivé à notre chambre les clefs ne fonctionnaient pas je suis donc retourné à la réception pour faire activer les cartes puis retour à la chambre. chambre très modeste pas de clim juste un ventilateur 2 interrupteurs et une lampe qui ne fonctionne pas et pas bien insonorisé. Ensuite fenêtre ouverte sans poignée de porte donc impossible de fermer la fenêtre ai dû appeler 3 fois la réception pour que quelqu’un vienne réparer et que l’on puisse partir au parc Disney Pour moi les deux seuls point positif c’est l’accueil et check in rapide et le petit déjeuner copieux Une chose est sure je n’y retournerai pas pour le prix payé pour 4 je trouve…",Cediboy a écrit un avis (août 2022),"Mons, Belgique",bubble_10,no
"Hôtel pour les familles, basique mais pas bon marché","La gentillesse du personnel (particulièrement lors du petit-déjeuner) ainsi que la qualité du buffet petit-déjeuner remontent la note quelque peu Nous avons déjà effectué plusieurs séjours au Parc, et dans plusieurs hôtels différents  Cette année nous voulions y revenir en famille à l’occasion des 30 ans Ce parc est devenu horriblement cher…notre choix de cet établissement était en fonction du budget alloué au logement  Nous avions une chambre familiale avec un lit double et un lit superposé.  Équipement basique, certains éclairages ne fonctionnaient pas. La fenêtre était ouverte à notre arrivée mais impossible à refermer: nous avons dû faire appel au service technique.  Cet hôtel est clairement le bas de gamme de Disney et l’équipement des chambres en dessous d’un B&B par…",Muriel F a écrit un avis (août 2022),"None, None",bubble_30,no
"Chambre très mal isolée, chaleur insoutenable, prix prohibitif","L'accueil au desk a été très sympathique. Rien à reprocher à la literie ni à la salle de bains. Par contre, chambre très mal isolée d'où une chaleur insoutenable qui nous a empêchés de dormir. Aucune mesure n'a été prise pour corriger ce gros inconvénient. Le service d'étage s'est même permis de faire une remarque car nous avions cherché à bloquer la porte le lendemain matin pour aérer. Prix prohibitif pour un hôtel de cette catégorie (2 étoiles).",Tchang01 a écrit un avis (août 2022),Suisse,bubble_20,no
Magique et dépaysant,Nous rentrons de Disney enchantés. Hôtel à la hauteur de nos attentes si ce n'est plus. La chambre et la salle de bain étaient bien propre et de qualité. Petit déjeuner bien fourni avec un grand choix ainsi que le repas du soir (même si pour les enfants le choix des viandes était un peu limité). Personnel très sympathique et bien veillant. La visite du personnage tous les soir était un bonus très apprécié de mon fils. L'ambiance et le dépaysement était au rendez vous avec un village pour accéder aux chambres bien typique. Rien à reprocher à la navette pour accéder au parc.  Le seul bémol est la chaleur dans les chambres. Nous n'hésiterons pas à revenir au Santé Fé lors d'une prochaine visite à Disney ;),veronique D a écrit un avis (juil. 2022),"None, None",bubble_50,no
Parfait !,On aime ... - la rapidité de l'enregistrement  - la gentillesse du personnel - la présence d'un personnage dans le hall les 2 soirs où nous étions là - le petit déjeuner malgré une fameuse file d'attente - la thématisation - le ventilateur au plafond  Navette toutes les 12 minutes  Frigo disponible au point info si médicaments à conserver  Starbucks pour se poser Bar  ,T_Koralie a écrit un avis (juil. 2022),"Rochefort, Belgique",bubble_50,no
très bien,un hotel agréable assez proche du parc. Le petit déjeuner est bien servi et bien fourni. le logement est correct et suffisant pour passer deux à trois jours sur place. le personnel est gentil et essaie de faire de son mieux en cas de problème.,Thierry H a écrit un avis (juil. 2022),"Seraing, Belgique",bubble_40,no
Très bon séjour à Disneyland,"Nous rentrons d’un week-end à disney où nous avons séjourné à 8 dans cet hôtel (2 adultes, 5 enfants). J’avais un peu peur au vu de certains autres avis mais nous avons été enchantés par notre séjour! L’hôtel avec la déco cars et Mexique très sympa on se croirait en vacances. Nous avions deux chambres communicantes qui étaient propres et la literie très bien. Nous y étions par période de canicule et malgré la climatisation la qu’antes, il y a des ventilateurs au plafond qui permettent de passer une bonne nuit. La navette gratuite passe devant l’hôtel toutes les 12 minutes jusqu à 1h du matin. Petit déjeuner très bien avec du choix. Personnel très sympathique. Je n’hésiterai pas à recommander cet hôtel ou à le reprendre pour un prochain séjour",Samdmts a écrit un avis (juil. 2022),"Freyming-Merlebach, France",bubble_40,yes
Ensemble ok mais attention l'été !,"La chambre était propre et confortable avec deux grands lits, la salle de bain était fonctionnelle mais on voit que l'hôtel n'est pas de dernière fraîcheur... Le papier peint se décolle par endroit, les murs de la salle de bain sont abîmés. Il faisait très chaud quand nous avons séjourné à l'hôtel et impossible d'ouvrir les fenêtres en grand. Il n'y a également pas de clim. Heureusement la journée à Disney nous a bien fatigués car sinon il aurait été difficile de dormir par cette chaleur ! ",Ninon Bost a écrit un avis (juil. 2022),"Chilleurs-aux-Bois, France",bubble_30,no
Hôtel sans clim !!,Hôtel sans clim !!!!  Des ventilateurs sont disponible  Il nous a fallu 2 h à minuit pour en récupérer un  Vu le prix d’une nuit juste incroyable  L’hôtel n’est pas à la hauteur de Disney  Doit être rénové !!! Literie confortable  Le petit paie n’a pas été prix  Car il devait y avoir deux d’attente pas de chance les tickets petit dej ne sont pas utilisable dans le parc,"fred,isa A a écrit un avis (juil. 2022)","None, None",bubble_30,no
Très bon séjour l’as bas,"Ahhh santa fe! cette hôtel pour l’avoir fait plusieurs fois je l’apprécie, l’univers cars n’ai pas mon préféré, mais néanmoins le thème de cars et très respecter et et bien représenter ici. Les prix reste les prix disney et je ne m’exprimerais pas là dessus! Mais même l’ambiance de l’accueil en passant par le restaurant tout et top !! Les personnes travaillant la bas comme le lieu!! Chambre calme et propre! Nourriture du restaurant de l’hôtel et normal, la salle de restauration et même très grandes, le matin c’est  très bruyant beaucoup de monde, mais cela et liées à là fortes influence de l’hôtel. Sinon navette bien toute les dix minutes, ce séjour reste un très séjour l’as bas! A faire si vous aimez cars et que vous avez le budget !",Lena a écrit un avis (juil. 2022),"Hayange, France",bubble_40,no
Excellent séjour,"Séjour de 4 jours, très bon accueil rapide et efficace, pas d'attente. Avec une chambre prête à notre arrivé et propre, débit d'eau chaude suffisant. Ambiance calme et reposante, lit confortable, salle de bain propre et fonctionnelle. Restaurant de l’hôtel pour le déjeuner et repas du soir de très grande qualité avec un grand choix divers et varié selon la journée. Personnel aimable et sympathique, accueillant. Service de bagagerie au top ! Navette bus rapide et sans attente.",cnr a écrit un avis (juil. 2022),"Bordeaux, France",bubble_50,no
Très bien.,"Réception accueillante et explications de notre séjour clairs. Chambres agréables et confortables . On peut rejoindre à pied le Parc , une marche boisée délassante. Pratique la navette pour l'arrivée ou le départ , pour qui prend le train ou l'avion.",Sylvain974 a écrit un avis (juin 2022),"Biganos, France",bubble_40,no
Bof,"Séjour pour la GayPride chez Disney, 384 euros la nuit : hôtel vieillissant, pas de frigo dans les chambres, pas de bouteille d'eau, très mauvaise insonorisation (on entend les voisins aux toilettes...) pas de rideaux occultants. Petit déjeuner correct mais pas extra (22e par pers) : jus de fruits industriel, jambon et fromage de mauvaise qualité, pas de crêpes ou pancakes. Franchement déçue pour le prix",Is T a écrit un avis (juin 2022),"None, None",bubble_20,no
"Pratique,  mais déçue ","L'hôtel en lui même est pratique, rapidité d'accès aux parcs, au Disney village, navette,  c'était la première fois que nous le faisions.  Mais bon la dernière aussi! Chambre très froide,problèmes de canalisations,mauvaise insonorisation, gallopades de petits habitants dans le plafond... bref une nuit plus qu'épuisante car les enfants n'arrivaient pas à dormir.  La journée du lendemain a été assez difficile a assumer jusqu'au soir.  Nous avons été dessus.",Kami M a écrit un avis (juin 2022),"Lyon, France",bubble_20,yes
vraiment sympa,Hotel 2 étoiles basique mais très correct. Une petite rénovation des salles de bain serait à prévoir. Sinon rien à dire. Chambre sympa avec télé.  Parking grand.  Service de bagages.  Restaurant pas testé.  il manquerait un espace conviviale.,Theo F a écrit un avis (juin 2022),"Toulouse, France",bubble_40,no
Bon rapport qualité/prix,"Hôtel tout à fait correct.  Les chambres et les salles de bains sont assez spacieuses, propres. Large choix de petit déjeuner autant sucrés que salés.  Personnels agréables et réactifs.  Seul point négatif les distributeurs de canettes qui ne fonctionnent pas correctement, si vous payez par carte bancaire vous serez débité mais n’aurez pas votre boisson …",PaolaJ a écrit un avis (juin 2022),"Nîmes, France",bubble_40,no
Un séjour féerique,Hôtel au thème cars super sympa pour les enfants un buffet pour le petit déjeuner avec une multitude de variétés du salé du sucré du chaud du froid des fruits des œufs du fromage de la charcuterie le cake mystère un délice un personnel aux petits soins et y mettant tout leur cœur merci hôtel propre et accueillant,Nounoute76 a écrit un avis (mai 2022),"None, None",bubble_50,yes
Trés bien,"Bonjour, ce n'est pas la première fois que je séjourne à l'hôtel SANTA FE et c'est pourquoi j'indique qu'il dispose d'excellents services. Ca fait 3 fois dans cet hôtel et c'est top, rien à dire. Pour une journée à Disneyland en famille et entre amis, à proximité ,Bon transport 15 à 15 minutes personnel parlant plusieurs langues. pour moi recommander.",Mobile10369833231 a écrit un avis (mai 2022),"None, None",bubble_50,no
Horrible a fuir !,"Hôtel complètement laissé à l'abandon sale , cheveux dans la salle de bain , de la moisissure dans la baignoire bonjour le cache misère !!! Une honte de recevoir des clients dans un lieux pareil manque d'hygiène à fuir !!!! Très déçu vue le prix de la chambre",Anna123 a écrit un avis (mai 2022),France,bubble_10,yes
Hôtel sympa.,"C'est la première fois que nous dormons dans cette hôtel de Disneyland et nous avons apprécié, les chambres sont propres et bien agencé, le petit déj, bien qu'un peu chère (mais bon, c'est un hôtel Disney) est très bon , avec beaucoup de choix. Si l'occasion de représente, nous y retournerons sans hésitation.",David S a écrit un avis (mai 2022),"Saint-Jean-de-Maurienne, France",bubble_40,no
Chambre très sale,"Nous avons séjourné à l hôtel santa fe, une catastrophe hôtel très sale :nous étions 6 donc 2 chambres de 3 , nous arrivons à 20h devant la chambre mais la carte n étant pas activé par la réception impossible de rentrer dans la chambre. Lorsque nous sommes rentrés dans la chambre très sale : poils sur l oreiller , abattant de  toilettes très sale, cheveux dans la baignoire. Les couloirs de l hôtel très sales, c est la 8 eme année que nous y allons et au fur et à mesure des années cela périclite.ce fut la dernière fois !!!! Le restaurant «  la cantina » a l image de l hôtel, les banquettes sales, le buffet est devenu catastrophique. Très cher par rapport à la qualité. Dernière fois pour nous !!!!!",Laetitia a écrit un avis (mai 2022),"None, None",bubble_10,yes
Un désastre,"Disneyland qui m'envoi un questionnaire de satisfaction pour cet hôtel !!!! Voici l'histoire. avis sur l'hôtel pas le parc qui lui ai magnifique !!!! voyage de 2 couples avec des enfants de 5 et 8 ans!!!!! Hôtel réserver depuis 4 mois, lors de notre arriver vers 18h nous récupérons nos valises à l hôtel réservé mais une fois à la réception pas de chambre disponible, après une attente d'1h et lever depuis 05h du matin avec des enfants on nous change d hôtel. bien sûr repas et petit déjeuner réserver nous devons batailler pour leur faire comprendre que les repas et déjeuner nous désirons les prendre dans l hôtel où nous sommes transféré, ce que la réception du Santa fe au début ne voulais pas!!! bref après 01h 15 nous avons gain de cause et heureusement car nous n'avons pas…",Olivier L a écrit un avis (mai 2022),"None, None",bubble_20,no
Chouette !,"Nous avons été conquis par cet hôtel ! Le cadre est vraiment attirant pour des enfants (ou des adultes) car le thème correspond parfaitement au dessin animé Cars. Des petites routes menant d'un coin à l'autre du complexe aux détails dans les chambres c'est vraiment idéal pour nous faire rêver ! Petit bémol dans certaines parties du décors ou l'entretient n'est peut-être pas a son maximum mais cela ne gâche en rien l'expérience. Le restaurant et le bar sont géniaux et le choix du buffet est immense, tout est très bon. La fréquence élevée des navettes permet d'accéder au parc en toute facilité. L'accueil était au top, avec beaucoup d'explications et les réponses a nos questions. Notre petit garçon a pris son pied ! Merci !",Eveuh A a écrit un avis (mai 2022),"None, None",bubble_50,yes
Nettoyage à revoir,"Sale très sale … chaussette et cafetière au sol dans le couloir idem avec une armoire métallique ouverte qui traîne . Toile d’araignée omniprésente , tache sur moquette … très déçu pour un hôtel Disney . Dommage personnel super sympathique",tony g a écrit un avis (mai 2022),"None, None",bubble_20,yes
Honteux,L’accueil était super mais la chambre sans gel douche bouteille vide j’ai dû me laver avec le démêlant papier wc terminé mouchoirs vide distributeur cb ne fonctionne pas et la prise table de nuit arrachée vu les prix pratiqués il faudrait revoir votre infrastructure jamais plus,jojpelauil a écrit un avis (mai 2022),"Cap d'Agde, France",bubble_10,no
bof bof,"Poils dans la baignoire et dans le lit, ventilation dans la salle de bain qui fait énormément de bruit  manque une brosse pour nettoyer l'intérieur des toilettes  Nous avons tout de même bien dormi après une grosse journée sur le parc  mais cet hôtel est quand même limite  Par contre très pratique car pas besoin de faire de Check in et check out tout se fait sur le téléphone  En plus le parc est a 15 minutes à pieds de l'hôtel c'est très pratique et facile d'y accéder",Juliette G a écrit un avis (mai 2022),"None, None",bubble_30,no
Bonne surprise,"Hôtel propre avec du personnel accueillant ! La literie un régal . On a eut du mal à se lever !! La douche très agréable par sa forte pression ! Grand emplacement pour les valises ! Pas de bruit , on est tombé sur de bons voisins ! Navette régulière pour Disney !",carouille a écrit un avis (mai 2022),"Marseille, France",bubble_50,no
Propre et parfaitement suffisant quand on va à Disney (3 hôtels sur les 5 testés),"Après avoir déjà fait le Séquoïa et le New York (avec préférence pour le New York et son petit déjeuner à tomber et ses lits moelleux), je remarque que les trois fois, les chambres et salles d'eau étaient parfaitement propres et que, réellement, nous ne les avons quasi pas vues du séjour! (ni les piscines ou autres avantages)... Nous avons donc opté pour le Santa fe cette fois et pas vraiment déçus si on vient avec des enfants : ils étaient chez cars, le petit déjeuner n'était pas mauvais du tout et le personnel juste ADORABLE! Ils sont vraiment au top avec les enfants (et compréhensifs avec les parents).  ET MUST DE TOUT : on a pu voir Dingo à un horaire donné par l'hotel sans file d'attente. Etoiles dans les yeux, ils ont enfin vu des personnages Disney à Disney et on ne peut…",Sarah H a écrit un avis (avr. 2022),"Durbuy, Belgique",bubble_40,no
Ne recommande pas…,"Bonjour,  Franchement j’ai payer plus de 500€ mon séjour et je ne le renouvellerai pas! Faire des heures d’attente pour une attraction alors qu’au final il tombe en panne devant nous, ne respect pas les personnes à mobilité réduite mon père a attendu aussi des heures pour faire l’une des seul attractions qu’il pouvais faire, des toilettes bouché et salle, des prix horribles dans la restauration pour au final se trompée dans ma commande. Aussi, l’hôtel était salle ! Mais vraiment à part la petite présentation sur la télé qui étais accueillante le reste j’ai pas du tout apprécié. Je fais un bref paragraphe alors que je pourrais encore en dire. Mais bref je ne renouvellerais plus de séjour à Disney.",Alexia D a écrit un avis (avr. 2022),"None, None",bubble_10,no
Séjour Disneyland Paris,"Nous avons été un peu déçu de l’hôtel, malgré que le cadre soit exceptionnel, nous avons trouvé quelques poils dans la baignoire, les rideaux étaient cassés, pas de bouchon pour la baignoire ou encore le lavabo bouché.  Cependant notre séjour a été formidable, la literie était super et la magie est très présente dans l’hôtel.",RK9 a écrit un avis (avr. 2022),"None, None",bubble_30,no
Séjour à Disney,"La réputation de Disney est représentée dans cet hotel. Le menage et la propreté sont parfaits. En revanche, hôtel vieillissant. La piscine etait en rénovation lors de notre séjour donc fermée. Nous avons une grande fille de 4 ans et des jumeaux de 2 ans et nous n’avons eu le droit qu’à un seul lit bébé (pour des règles de securité) donc bien embêtés donc pensez à prevoir le votre si vous êtes dans le même cas. Le petit déjeuner est un régal et le personnel vraiment chaleureux. Beaucoup d’attente pour avoir les clefs de la chambre à l’arrivée car nous etions en periode de vacances scolaires.",Jenalchaga a écrit un avis (avr. 2022),"None, None",bubble_40,no
Déçu,"Bonjour, nous avons pris deux nuits pension complète standard. Alors pour l'hôtel,  des cheveux au-dessus de la porte sur le sèche-cheveux et la baignoire avec pas mal de calcaire, de la peinture qui a couler sur la frise en haut des murs, et sur les meubles. La chasse d'eaux et décollé. Aptes dans la parc niveau repas ils ont changés leur conditions entre-deux donc nous réservation on été chamboulé on avais le droit a 4 coupons repas donc on  prix 4 resto à volonté et arrivé à deux repas utilisé le troisième recaler le personnelle de resto à été très correct pour nous le dire. Mais on été pas très content la magis s'envole après tout ça.",angelique s a écrit un avis (avr. 2022),"None, None",bubble_20,yes
"Simple, efficace et bien organisé",Une superbe expérience dans cet hôtel pour notre séjour à Disney avec notre fils de 3 ans qui était ravi de son séjour dans l hôtel avec les Cars. Chambre spacieuse et propre  Repas à la cantina très correct avec des bons petits plats  Bravo à l’équipe,Alsacienne6868 a écrit un avis (avr. 2022),"Colmar, France",bubble_50,yes
Éliane Aubert et Camille Boyer,Santa Fe c'est super génial trop top c'est trop bien il y a rien à dire là-dessus je suis satisfaite à chaque année que je viens à l'hôtel Santa Fe 4 jours et trois nuits le buffet à volonté le matin pour le petit-déjeuner comme le buffet à volonté le soir pour le repas du soir j'ai essayé l'hôtel Séquoia là où il y a la piscine avec le toboggan le jacuzzi et une salle de sport et un sauna et hammam il est super bien aussi il est un poil un peu plus cher mais ça vaut le coup d'y aller les autres hôtels que j'ai pas essayé et que j'ai pas nommé ils valent le coup si mais ils sont beaucoup trop cher pour moi je me contente de partir une fois chaque année pendant 4 jours et trois nuits au mois d'août l'hôtel qui m'a déplu que j'ai pas aimé que j'ai trouvé vraiment Fabien c'est…,Éliane Aubert a écrit un avis (avr. 2022),"None, None",bubble_50,no
État de propreté catastrophique de notre chambre au Santa Fe,"Bonjour,  Nous avons séjourné la nuit du 7 au 8 avril à l’hôtel Santa Fe et c’était …. Comment dire …. Une honte !  J’ai déjà séjourné dans cet hôtel il y a une dizaine d’années et ce n’était pas du tout comme ça.  Certes c’est un hôtel 2*, mais à 300€ la nuit on s’attend à quelque chose d’autre niveau hygiène et propreté de la chambre.   Déjà les couloirs qui mènent aux chambres sont sales, moquette moisie et très très sale… avec des chariots de ménage en plein milieu des couloirs.  Bref ce n’est pas grave en soit car nous ne séjournons pas dans le couloir.   Dans notre chambre, les sanitaires étaient sales, pas faits du tout, avec des gouttes d’urine séchées sur l’abattant. J’ai du nettoyer, à minuit passé, les toilettes avec une serviette de toilette et du gel douche afin de…",Ingrid L a écrit un avis (avr. 2022),"None, None",bubble_10,no
