titre_commentaire,commentaire,Mois_Avis,Annee_Avis,Ville,Pays,Mois_Sejour,Annee_Sejour,Note,Photo,langue,latitude_city,longitude_city,Pays_recod,Contient_recod,lat_Pays,Lon_Pays,Ville_recod
Super hôtel dans le thème Marvel à Disneyland Paris,"Super hôtel dans le thème Marvel avec des décors à couper le souffle  Les chambres spacieuses et bien équipée (machine à café, bouilloire pour le thé) et petite attention en souvenir. Le personnel de l’accueil, la boutique, bagagerie au top très serviable et aimable au petit soin avec nous.",décembre,2023,Valenciennes, France,décembre,2022,5,yes,fr,50.3579317,3.5234846,None,None,None,None,None
Hôtel New York Merveille,"Fantastique hôtel Marvel New York. Près du parc. Chambres assez propres et le détail quand ils reviennent dans l'après-midi est super ! Je soulignerais sa boutique-boutique et le Downtown, l'espace où les enfants peuvent dessiner. J'ai acheté le désodorisant de l'hôtel pour ma maison, ça sent bon. Point à améliorer je dirais qu'ils pourraient être un peu plus agiles au moment de la file d'attente pour entrer dans le restaurant et son prix est très élevé, tout le monde ne peut pas se le permettre",décembre,2023,Gérone, Espagne,décembre,2022,5,no,es,41.9793006,2.8199439,Espagne,Europe,41.979395749999995,2.819753569037904,Gérone
Très bien situé mais trop cher,"L'hôtel est très bien situé, à 10 minutes à pied des parcs, le personnel est sympathique et très serviable. L'hôtel a été déçu par le petit déjeuner médiocre, la propreté des chambres. Nous avions le plan de repas pour le petit-déjeuner, c'est un buffet à volonté, mais le bacon était filandreux et comme du caoutchouc, l'œuf brouillé était un bol de bouillie aqueuse. Mon mari a juste mangé des croissants tous les jours car le petit déjeuner était horrible, notre fille a réussi à manger les crêpes à moitié cuites. C'était un petit déjeuner très cher pour la qualité de la nourriture. Maintenant, les chambres, à part quelques photos sur le mur, n'ont rien de Marvel. Le miroir géant dans la pièce est également l'écran de télévision, qui était couvert de poussière et lorsque vous placez les briquets au-dessus de la télévision, accentuez davantage la poussière. Le meuble à côté de la télé…",décembre,2023,Maidstone, Royaume-Uni,décembre,2022,3,yes,en,51.2748258,0.5231646,None,None,None,None,None
Super hôtel et personnel adorable,"Nous avons séjourné ici pendant deux nuits lors d'une visite à Disneyland Paris et c'était charmant. Les chambres ont été récemment rénovées et offraient beaucoup d'espace et dans l'ensemble, elles ont fait un travail formidable en les refaisant. L'entrée à l'hôtel a été un peu lente avec le contrôle de sécurité et le dépôt des bagages, mais l'enregistrement a été assez rapide - vous pouvez vous enregistrer à tout moment pour obtenir vos billets de parc, puis revenir après 15 heures pour obtenir votre numéro de chambre. Considérant que c'est un quartier familial et un hôtel, nous n'avons pas entendu beaucoup de bruit du couloir et la décoration des chambres et de l'hôtel était incroyable. Nous avons acheté le petit-déjeuner qui proposait un large choix de plats chauds et froids et nous a permis de bien commencer la journée. La proximité de Disney Village ainsi que des deux parcs était super et les autres bars et restaurants semblaient assez…",décembre,2023,Adelaïde, Australie,novembre,2022,5,no,en,-34.9281805,138.5999312,Australie,Oceania,-34.928518,138.5999429,Adélaïde
EXCELLENTE OPTION POUR RESTER PENDANT VOTRE VUE SUR LE PARC,"Lors de notre séjour à Disney Paris, nous avons choisi cet hôtel, qui dispose de tous les conforts, ce qui est très positif pour passer la transe de ce « bilan social » de la visite de Mickey Mouse qu'ils nous imposaient quand nous étions enfants. , la fille ou le garçon fait la première communion. EMPLACEMENT. Génial. Vous sortez de l'hôtel et vous vous retrouvez au premier contrôle d'accès au parc. Il faut très peu de marche pour atteindre les tourniquets. INSTALLATIONS. C'est un hôtel inspiré des hébergements new-yorkais et c'est vraiment fait. Décoration dans le style Marvel, qui plaira aux plus petits et à ceux qui sont déjà un peu démodés comme moi. CHAMBRES À COUCHER. Spacieux, confortable et avec de bons lits, idéal pour une famille. Tout très bien. DÉJEUNER. Parfois un peu chaotique, parce que…",décembre,2023,Huercal-Overa, Espagne,décembre,2022,5,no,es,37.3895979,-1.9450652,None,None,None,None,None
Vaut la peine d'être répété,"Hotel New York, The art of Marvel était un endroit super confortable avec des gens sympathiques et serviables dans une atmosphère joyeuse. Tout le personnel va me manquer. Cela vaut vraiment la peine d'être répété. La nourriture végétalienne est également bonne et très savoureuse. Haut",décembre,2023,Poelkapelle, Belgique,décembre,2022,5,yes,nl,50.9179465,2.9572108,None,None,None,None,None
"Très cher, pas de super héros dans l'hôtel et mauvais service !!","Nous avions de grandes attentes car nous avons payé 1200 pour une nuit et nous avons été très déçus. Il n'y a pas de super héros dans l'hôtel. Le service est très médiocre, surtout au restaurant buffet. Les chambres sont belles et grandes et vous êtes à proximité du parc Disney, mais la qualité des prix est médiocre et l'absence de super héros de Marvel en fait une visite très décevante pour les enfants. Nous ne recommanderions pas cet hôtel car les attentes ne répondront pas à ce que vous espérez obtenir.",décembre,2023,Pays-Bas,None,décembre,2022,2,no,en,52.2434979,5.6343227,None,None,None,None,None
"La définition du luxe, l'hôtel de vos rêves Marvel","Cet hôtel a réalisé nos rêves Disney et Marvel. Je suis venu ici avec ma femme et notre fils de 2 ans. J'ai réservé une chambre standard. Nous avons été surclassés gratuitement dans la suite Super Hero ! Avec toutes les commodités VIP incluses : accueil VIP, petit-déjeuner VIP, Empire State Longue et plus encore. Nous étions tellement excités et touchés par la façon dont le personnel nous a traités du début à la fin, et être proche de Disneyland Paris était la cerise sur le gâteau. Merci beaucoup pour cette expérience magique et irréelle !",décembre,2023,Rehovot, Israël,décembre,2022,5,no,en,31.8952532,34.8105616,None,None,None,None,None
À plusieurs reprises ne tient pas ce qu'il promet,"Le Parc Disney vaut toujours le détour, il faisait beau cette fois aussi. Malheureusement, en revanche, le Marvel Hotel New York décline de plus en plus et devient une simple arnaque. Nous avions réservé une chambre Empire State Club pour 1100 euros la nuit, entrée au parc comprise. Les Plus : Le hall d'entrée. C'est tout. Points négatifs : Le service de la réception est dramatiquement médiocre et n'est pas du tout intéressé à répondre aux besoins des clients. Les chambres deviennent de plus en plus sales d'année en année, les couloirs de l'hôtel sont dramatiquement sales, y compris le couloir de l'Empire State Club. Le salon du 6ème étage est une blague, boissons limitées, pas de nourriture, pas même des noix. Le salon du rez-de-chaussée est joliment meublé, la nourriture est mauvaise, souvent froide et il manque généralement quelque chose. Pas assez de choses saines...",novembre,2022,Mayence, Allemagne,novembre,2022,2,no,de,50.0012314,8.2762513,Allemagne,Europe,50.0013775,8.2764876,Mayence
Je m'attendais à mieux...,"Un peu déçue de l'hôtel. Très belles chambres, literie et personnel top mais petit déjeuner très classique et le côté Marvel est un peu surfait. Je n'ai été ni dépaysée ni charmée comme je l'avais été à  l'hôtel Disneyland. De plus, aucune réduction ou fast pass offert. Trop cher par rapport aux prestations.",novembre,2022,None, None,novembre,2022,4,no,fr,44.933143,7.540121,None,None,None,None,None
Emplacement incroyable!,"C'était mon 10e voyage à Disney, la première fois que je séjournais à HNY (j'ai dîné ici avant les rénovations). Très impressionné par l'hôtel et les rénovations, la thématique Marvel est excellente. Nous sommes arrivés à l'heure du déjeuner et avons été ravis d'apprendre que notre chambre était prête. La chambre était propre, moderne et spacieuse. Le personnel était excellent partout, rien n'était trop leur demander. Il y avait un problème mineur avec nos laissez-passer magiques à l'arrivée, mais la dame de la réception a rapidement réglé le problème pour nous. Nous avions un plan de repas Disney et avons pris le petit déjeuner et le dîner à l'hôtel, tous deux excellents, beaucoup de choix, la nourriture était chaude, etc. Les enfants ont adoré l'avantage de la station de super-héros, un équipement merveilleux. La piscine nous a également plu, la piscine est immense, peut-être un peu froide mais ce n'est pas un problème. Les…",novembre,2022,Kildare, Irlande,novembre,2022,5,no,en,53.15436455,-6.8184175660976445,None,None,None,None,None
Ravie,"Nous avons vraiment apprécié notre nuit dans cet hôtel, les chambres sont comme sur les photos.  Le miroir qui en fait est une télé, trop classe, les lits sont super confortables. L hôtel est juste magnifique avec à chaque étage un personnage Marvel.   J ai pas mis 5 étoiles, car je trouve que vu le prix que nous payons, nous pourrions au moins avoir le petit déjeuner compris ( ne serais ce qu un simple buffet à volonté avec des viennoiseries), mais au moins dans les chambres nous avons du café à disposition, C est déjà ça.   En tout cas nous resterons enchanté de notre séjour. ",novembre,2022,None, None,novembre,2022,4,no,fr,44.933143,7.540121,None,None,None,None,None
Mauvaise expérience hôtelière,"Le prix est exagéré, et le service du rhum est très mauvais. Il n'y a pas de nettoyage des sols, seulement du rangement, et la plupart des housses sont rangées et non remplacées par une housse neuve. Ma serviette a été volée, sachant que sa couleur n'est pas la couleur des serviettes de l'hôtel, ils savaient qu'elle n'était pas restituée, et la chambre n'était pas équipée pour les clients au niveau des chaussures.",novembre,2022,None, None,novembre,2022,2,no,ar,44.933143,7.540121,None,None,None,None,None
"Bon hôtel, excellent emplacement","Les chambres et la salle de bain sont très spacieuses, la décoration est très sympa, surtout pour les fans de Marvel. Bon nettoyage. Le petit déjeuner buffet est très bon et varié. Et les dîners sont bons mais pas quelque chose d'enthousiasmant, c'est-à-dire si vous mangiez tous les desserts sur le thème de Marvel. Il nous était impossible de réserver un des dîners avant d'y aller, une fois sur place à la réception ils ont réussi à réserver le dîner sans problème au restaurant buffet, qui est celui que nous voulions. Il se trouve à 5 minutes à pied des parcs, donc c'est très pratique si vous devez retourner à l'hôtel et juste à côté du village et très proche de l'arrêt de train qui se trouve à côté du village. Rencontres de personnages Marvel, super. Nous avons eu Spiderman et ensuite nous avons pu prendre des photos dans les paramètres de Marvel.…",novembre,2022,Santander, Espagne,mai,2022,4,yes,es,43.4620412,-3.8099719,Espagne,Europe,43.46235455,-3.8099906229583773,Santander
Bel hôtel mais le personnel de la réception était incompétent,"Très bel hôtel, très bien situé, très joliment meublé / décoré, vaut vraiment la peine d'être si proche du parc pour plus de commodité. Dans l'ensemble, le service était horrible. Nous voyagions avec un enfant de 2 ans et 8 mois et un enfant de 8 mois. Avant de partir, j'ai envoyé un e-mail à l'hôtel pour demander qu'un lit bébé soit placé dans notre chambre pour notre plus jeune. L'hôtel a répondu rapidement en disant que ce ne serait pas un problème et que ce serait fait. nous sommes arrivés à l'hôtel vers 08h30. De toute évidence, l'enregistrement a été plus tard, ce qui était bien, nous avons été rapidement vus par la réception et nous avons reçu nos laissez-passer magiques. À ce moment-là, j'ai parlé au monsieur et j'ai rappelé le lit dans la chambre - il a dit qu'il avait déjà été ajouté au système, la note était là et qu'elle serait là quand nous aurons la chambre à 1500 - donc…",novembre,2022,london,None,novembre,2022,3,no,en,51.5073219,-0.1276474,Royaume-Uni,Europe,51.5073171,-0.12765535893207325,Cité de Westminster
Avis mitigé,"Bel hôtel neuf et magique aux yeux de nos enfants  mais en regardant de plus près surtout vu le prix en supérieur pour 3 nuits , les chambres ne sont pas faites correctement ( linge sale taché oublié dans notre chambre , bouteille d’eau de bienvenue le 1 er jour mais pas les jours suivants , capsules de café pas remplacer , serviette de bain sale pas changé mais repliée pour faire croire que .. Les lits sont en 140 et heureusement qu’on est assez fins  Faire la queue pour boire un coup au bar c’est pas super après une journée éreintante aux parcs  Resto , self ou petit dej …. Comme partout dans Disney moyen moyen",novembre,2022,Calvi, France,novembre,2022,3,no,fr,42.5677079,8.7590528,None,None,None,None,None
FABULEUX,"Superbe accueil des castmembers que ce soit à la réception, la conciergerie, la bagagerie ou dans les restaurants. L’hôtel est magnifiquement rénové, le hall d’entrée est juste wawhou, on en prend plein les yeux et le nez (j’adore le parfum d’ambiance diffusé!). Je disposais d’une chambre avec un grand lit double, très jolie, très propre et très grande, avec tout le confort nécessaire. La TV intégrée dans le miroir est super chouette. J’ai aimé la vue de ma chambre sur le lac, la proximité de l’hôtel avec Disney Village et les parcs. J’ai pu profiter d’une expérience au bar Skyline et au restaurant Manhattan. Je suis désolée, je ne trouve pas de points négatifs, tout était parfait ! Chambre 5240.",novembre,2022,Toulouse, France,novembre,2022,5,yes,fr,43.6044622,1.4442469,France,Europe,43.60444985,1.4444940151085732,Toulouse
QUEL HÔTEL !!!,"QUEL HÔTEL ! Nous sommes venus pour Noël et cet hôtel venait d'ouvrir. À l'origine, nous avions réservé dans le principal hôtel Pink Disney, mais il était fermé pour rénovation et on nous l'a donné comme alternative. N'A PAS DÉÇU. Étonnamment thématique. Les bars étaient fantastiques avec des boissons géniales. La nourriture était exceptionnelle. Personnel poli. 5 min à pied des deux parcs à thème. Les chambres étaient fantastiques super modernes. Nous avons décidé que c'était le seul hôtel où nous irions à Disney à partir de maintenant. VAUT L'ARGENT",novembre,2022,None, None,décembre,2021,5,no,en,44.933143,7.540121,None,None,None,None,None
Très recommandable,"Nous étions à l'hôtel pendant 5 jours et je peux seulement dire que c'est incroyable !!! Les chambres sont très spacieuses, la décoration très agréable et les salles de bain très propres. Le petit déjeuner est très bon.Nous avons dîné un soir au restaurant à la carte et comme c'était un restaurant 4 étoiles, je n'ai pas aimé.Le personnel était très sympathique. Presque tout le monde parle espagnol Le jour du départ, je ne me sentais pas bien et au lieu de quitter la chambre à 11 heures, ils m'ont laissé rester jusqu'à 13 heures. C'est à 5 minutes à pied des parcs, donc c'est très confortable et juste à côté du village. Ce n'est pas un hôtel bon marché mais si nous revenons, nous recommencerons !",novembre,2022,Palma de Majorque, Espagne,novembre,2022,5,no,es,39.5695818,2.6500745,Espagne,Europe,39.5695825,2.6500888,Palma
Inacceptable,Lors de la réservation j avais demandé des chambres communicantes l agent de resa m a dit que ce n était pas possible car j avais réservé une chambre supérieure et une chambre supérieure vue jardin (plus cher). Elle m a confirmé que si je prenais deux chambres supérieures vue jardin ce serait possible ce que j ai fait. A l arrivée quelle fut ma déception quand je me suis aperçue que je n avais pas de chambres communicantes. De plus une des deux chambres n avait pas accès à la télé.dans l autre il manquait le robinet d eau chaude. Nous avons dû appeler le service technique à 22h qui a dû intervenir 3 fois. Résultat à 7h c était toujours le même problème le robinet d eau chaude tournait dans le vide. Enfin dans l une des deux chambres il y avait des macarons et pas dans l autre…,novembre,2022,Paris, France,novembre,2022,1,yes,fr,48.8588897,2.3200410217200766,France,Europe,48.8588785,2.3201019,Paris
MARVELIFIQUE !,"Petits soucis avec mon Magic Pass où il manquait deux coupons repas  inclus dans la pension complète. Perte de temps à la réception ou j'ai du y retourner 2 fois car le personnel ne comprenait vraisemblablement pas très bien le principe des Voucher ""pension complète"" pour deux personnes sur deux jours, ce qui fait entre autres 8 repas et non 6.  La chambre très agréable, bien qu'il manquait les peignoirs et les chaussons qu'il a fallu réclamer.  La boutique, la conciergerie et l'ensemble du personnel sont très accueillants et bienveillants dans l'ensemble. Magnifique piscine pour se détendre, accueil sympathique. Le + étant le restaurant Manhattan, malgré l'attente trop longue à l'entrée le soir, cadre magnifique, nourriture italienne raffinée, personnel pro. Les petits…",novembre,2022,Paris, France,novembre,2022,4,yes,fr,48.8588897,2.3200410217200766,France,Europe,48.8588785,2.3201019,Paris
Évitez d'être au dessus des restaurants,"Hôtel situé à 10 min à pied des parcs Disney et Studio.  Il est magnifiquement décoré,le personnel est chaleureux, les chambres propres et spatieuses. Les enfants ont adoré. Gros bémol, les chambres situées au dessus des restaurants sont mal insonorisées, les bruits de chaises dès 7h sont horribles.",novembre,2022,Villiers-sur-Marne, France,novembre,2022,4,no,fr,48.8262055,2.5406696,None,None,None,None,None
La première expérience hôtelière Disney & Marvel,"De toute évidence, ce n'est pas l'hôtel typique dans lequel je séjournerais… mais comme Disneyland Hotel est proche pour rénovation et que mon partenaire aime Marvel, cela semble être le meilleur choix lors de notre visite à Disneyland Paris. Nous réservons le forfait 2D 1N directement auprès de Disney, je ne sais pas pourquoi je n'ai pas pu changer la catégorie de chambre lors de la réservation, et c'est par défaut la catégorie des chambres supérieures qui est la plus basse. La chambre est standard comme prévu pour un hôtel de parc à thème, décorée d'affiches Marvel - la nôtre avec le thème Spiderman. Rien à crier, juste une chambre propre et confortable et 10 à 15 minutes à pied de l'entrée du parc en fonction de votre vitesse. Vous flânerez également le long des boutiques et des restaurants le long du chemin. Je recommanderai de passer du temps à vérifier leurs installations, ce que nous n'avons pas fait, et juste le bar. Nous sommes allés au…",novembre,2022,Kuala Lumpur, Malaisie,mai,2022,4,yes,en,3.1516964,101.6942371,Malaisie,Asia,3.1523906999999998,101.69413362934259,Kuala Lumpur
Deception,Bonjour Un peu déçue par l'hôtel qui est je trouve froid  Le personnel était également froid  Je suis allée dans deux autres hôtels à Disney  et ils étaient beaucoup plus chaleureux et cosy  La chambre était bruyante bruits de chaises de pas donc mal insonorisée Dommage pour nous  ,novembre,2022,None, None,novembre,2022,3,no,fr,44.933143,7.540121,None,None,None,None,None
Magique,"Malheureusement, je n'ai passé qu'une nuit dans cet hôtel magique : l'emplacement est vraiment stratégique car il est situé à deux pas du parc, accolé au village Disney et donc pratique pour tout atteindre. Le tout nouvel hôtel vraiment avant-gardiste : la structure de style gratte-ciel new-yorkais est magnifique. Les chambres sont belles, modernes et immenses, avec un grand lit confortable. Le canapé est également agréable. La meilleure partie pour moi était la télévision placée derrière un miroir qui, lorsqu'elle était allumée, avait un panneau de bienvenue avec mon nom / nom de réservation. Note négative : malheureusement la salle de bain était très sale, cheveux sur les toilettes et cheveux et poussière sur le sol. Dommage pour ce négatif. Personnel tous super sympa : service de bagages parfait, pas…",novembre,2022,Settimo Torinese, Italie,novembre,2022,4,yes,it,45.1373354,7.7710152,None,None,None,None,None
Super hôtel,J'ai adoré ici. Grandes chambres avec de bons équipements et très propres. Lits confortables aussi! La nourriture de l'hôtel était bonne pour le petit déjeuner et le dîner avec un excellent choix pour toute la famille. Grande rencontre avec les personnages de Marvel aussi. Vraiment près du parc aussi.,novembre,2022,None, None,octobre,2022,5,no,en,44.933143,7.540121,None,None,None,None,None
Ne mérite pas ses 4 étoiles ,"Hôtel refait à neuf et pourtant déjà en si mauvais état. Le miroir de la salle de bain tombe en ruine, les montants de porte cassés, la vitre de la fenêtre brisée, la télé et le téléphone en panne. Le lit parapluie demande par mail oublié à notre arrivée. nous avons du attendre 1 heure pour en récupérer un. Il était 23h30 quand nous vous pu coucher notre bébé.Les lits sont des 140 cm seulement. Comment cela est il possible dans un 4 étoiles ? Nous attendons encore les petites attentions promises pour nos 3 enfants. Petit déjeuner excellent. Nous avons eu à faire des jeunes femmes très aimables à l accueil et au petit déjeuner mais fort désagréable à la conciergerie. Si vous n aimez pas votre travail changez en. Bref un établissement qui ne vaut ses 4 étoiles que par le tarif.",octobre,2022,None, None,octobre,2022,3,yes,fr,44.933143,7.540121,None,None,None,None,None
Bon pour les cocktails !!,"J'ai séjourné dans de nombreux beaux hôtels de mon temps, principalement pour le travail. Cet hôtel équivaut à un joli Hilton… ce n'est que 4 * et j'ai dû me le rappeler car certaines choses l'ont laissé tomber. Les lits dans ce que je suppose être les chambres familiales de base (bien qu'ils les appellent supérieures) ne sont que des lits doubles, pas un lit king ou queen, ce que j'ai trouvé étrange. Nous avons eu deux doubles. Je n'ai pas l'habitude de dormir si près de mon mari haha ​​! Le lit et les oreillers étaient basiques. Il ne semblait pas y avoir de films dans la salle, pas même Disney +, je devais y connecter mon propre compte. Nous n'avons eu que des bouteilles d'eau à la première arrivée et elles n'ont pas été réapprovisionnées. Ni la vanity box. MAIS les cocktails étaient vraiment bons ! Ce qui manque à Disney, cela vaut donc la peine de rester pour l'emplacement et les cocktails! La nourriture était bonne, bien que trop chère,…",octobre,2022,None, None,octobre,2022,4,no,en,44.933143,7.540121,None,None,None,None,None
D'accord. Mais pas magique,"Premier voyage à Disney et j'ai été surpris à l'enregistrement, il n'y a aucun conseil de l'hôtel sur Disneyland. La seule information dans la chambre est le menu du dîner dans la chambre. Rien sur l'heure magique / le feu d'artifice ni aucune information sur le bus ou la marche à pied. C'est comme s'ils s'attendaient à ce que tout le monde le sache ! Il n'y a pas de différence pendant la journée (après l'heure magique) si vous avez un laissez-passer pour l'hôtel et que vous devez faire la queue dans la file d'attente générale si vous retournez à l'hôtel pour le déjeuner et revenez, alors attendez derrière les personnes qui ont besoin de scanner lorsqu'elles n'ont besoin que de montrer un laissez-passer magique . Une file d'attente séparée pour les clients de l'hôtel serait bien. Il n'y a pas de priorité si vous séjournez à l'hôtel pour réserver les restaurants de l'hôtel. La difficulté est que si le débutant comme moi ne sait pas quand réserver, alors je veux le laisser ouvert. Donc se retrouver potentiellement sans pouvoir manger à…",octobre,2022,London,None,octobre,2022,3,no,en,51.5073219,-0.1276474,Royaume-Uni,Europe,51.5073171,-0.12765535893207325,Cité de Westminster
Excellent!,"Excellentes premières impressions de l'hôtel. Ma fille de 3 ans était malade à l'arrivée, alors la réceptionniste nous a trouvé une chambre avant 15 heures afin que nous puissions appeler un secouriste. Ensuite, nous avons eu un médecin à visiter dans les 3 heures et des antibiotiques livrés. Tous excellents. Merci! La chambre était extrêmement chaude et inconfortable le premier jour de la rue, l'hôtel était à court de ventilateurs, ce qui est compréhensible ! Je pense qu'ils avaient éteint la climatisation dans les chambres, mais Dieu merci, un technicien l'a allumé car honnêtement, nous n'aurions pas pu dormir dans la chambre car il faisait si chaud. Nous n'avons utilisé aucune des installations car elles étaient occupées dans les parcs. C'est un bel hôtel avec un terrain magnifique. Un personnel très amical et serviable. Dommage que le menu du room service soit si cher mais nous avons utilisé Ubereats et c'était fantastique si…",octobre,2022,Conwy, Royaume-Uni,octobre,2022,5,yes,en,53.1460931,-3.759920155777771,None,None,None,None,None
