dateSejour,situation,titre_comm,comm,loc,langue,dateAvis,note,photo
nov. 2022 , En famille,Moment de plaisir pour une première visite,"C'était notre première fois et c'était assez amusant. Ce n'est pas comme les autres parcs à thème avec un thème Disney lourd et des oreilles de Mickey partout, mais les manèges sont très amusants. Les temps d'attente sont assez longs pour l'aventure Crush's Coaster et Spiderman's Web, donc si vous voulez essayer ces deux-là, essayez-les avec votre passe magique lors de l'entrée anticipée ou attendez-vous à attendre. The Avengers Flight Force et Hollywood Tower of Terror avaient également des temps d'attente qui allaient et venaient et tout au long de notre séjour ici, les temps d'attente pouvaient être d'environ 15 minutes ou moins à des moments aléatoires de la journée. La balade Ratatouille était très bien faite mais nous sommes sujets au mal des transports. La nourriture est assez bonne ici et vous pouvez obtenir de bonnes collations sur le pouce, du vin chaud et de la bière très facilement. Le Bistrot Remy a été un moment fort pour nous, mais nous avons dû vérifier plusieurs fois pour obtenir une réservation et nous avons eu de la chance le jour où une place libre a été trouvée en milieu de journée au parc - vérifiez tôt et souvent si vous voulez essayer ! Il y a une tonne à faire dans ce parc et vous pouvez faire la plupart des manèges en moins d'une journée ici. Si vous avez le temps, nous vous suggérons d'obtenir un laissez-passer de 2 jours pour le parc et de passer la première moitié de la première journée ici, puis d'aller à Disneyland. Walt Disney Studios ferme tôt en semaine et le thème est beaucoup plus impressionnant à Disneyland, plus les feux d'artifice et les défilés se déroulent tous dans l'autre parc ! Nous n'avons eu aucun problème pour entrer et sortir de l'un ou l'autre des parcs, donc quelque chose à garder à l'esprit si vous êtes un amateur de parc extrême.","Edmonton, Canada",en,Écrit le 2 décembre 2022,"4,0 sur 5 bulles",yes
nov. 2022 , En famille,Rencontre avec la figurine disney,"La rencontre avec le personnage de Disney, Olaf, a pris trop de temps, ce que vous ne pouvez pas estimer à l'avance. De nombreuses personnes bénéficiant d'un accès premium ont obtenu la priorité ou les utilisateurs de fauteuils roulants. (1 heure et 15 minutes) Vous connaissez le temps d'attente pour de nombreuses attractions, mais je pense que c'est extrême pour quelque chose comme ça.Deux attractions étaient indisponibles pendant un certain temps en raison de problèmes techniques. Les spectacles au parc étaient extrêmement bons.",1 contribution,nl,None,"4,0 sur 5 bulles",no
nov. 2022 , En famille,mieux que Disneyland,"Nous avons passé une journée dans chaque parc. Et pour n'en choisir qu'un, ce serait Disney Studio, bien que les deux soient assez similaires, le prix est disproportionné. Cela ne correspond pas aux attractions. Quiconque recherche du plaisir, mieux vaut port aventure","Aviles, Espagne",es,None,"4,0 sur 5 bulles",no
nov. 2022 , En famille,Ma visite en novembre 2022,Agréable à visiter. Mais il faudrait avoir un plan pour faciliter l'organisation de la visite. Néanmoins le restaurant était blessant avec un très mauvais service à table. Le jeune homme dans la chambre était très impoli et inapproprié avec les clients (au restaurant Stark).,"Oliveira de Azemeis, Portugal",en,Écrit le 23 novembre 2022,"4,0 sur 5 bulles",no
nov. 2022 , En famille,Bien mais pourrais étre beaucoup mieux !,"le prix du parc par rapport a celui du grand parc est excessif car pas autant d'animation, toujours autant d'attente au crush'n coaster !! prix de la restauration très élevé, jeux proposés dans les boutiques proposé a des prix élevé mais pas assez représentatif (marvel... star wars) , zone marvel les décors sont jolis mais il y a un gout de ""trop peut"" dommage ",1 contribution,fr,Écrit le 22 novembre 2022,"3,0 sur 5 bulles",no
nov. 2022 , En famille,très amusant,C'est un monde différent des autres parc qui est adapté aux enfants. Super les nouvelles attractions du monde Marvel. Faire 2 parcs en 1 journée est très difficile car les files d'attente sont souvent longues.,"Sesto San Giovanni, Italie",it,None,"5,0 sur 5 bulles",no
nov. 2022 , En famille,visite à studio,"excellente vite dans parc studio surtout avec l'option pass premium qui évite les files d'attente en bonus, le show Mickey et le magicien, spectacle remarquable ",1 contribution,fr,Écrit le 22 novembre 2022,"5,0 sur 5 bulles",no
nov. 2022, En famille,Attention aux fumeurs,"J'ai visité de nombreux parcs Disney à travers le monde et ce fut définitivement une expérience différente. Le nombre de fumeurs dans tout le parc (à la fois Disney et Studios!) A vraiment gâché mon expérience Disney. Fumer n'est autorisé que dans la zone fumeurs désignée par la règle de Disney, mais tant de gens fumaient en marchant, faisant la queue pour un tour et même au milieu de la rue. Ce qui m'a encore plus surpris, c'est qu'AUCUN des membres de la distribution n'a dit quoi que ce soit à ces fumeurs ! Je ne pense pas que je retournerai au Disney Paris.",1 contribution,en,Écrit le 21 novembre 2022,"3,0 sur 5 bulles",no
nov. 2022 , En famille,Avenger Assemble a effrayé notre tout-petit et a gâché les vacances,"Nous sommes allés attirés par la nouvelle zone thématique Marvel pour faire vivre à notre enfant une merveilleuse expérience pour ses 8 ans.La reconstitution des environnements est très sympa, mais la zone thématique n'est pas très vivable pour les enfants...à mon avis plus adaptée pour ados et adultes. Ici on fait la queue pour Avenger Assemble sans pouvoir comprendre ce qui pourrait nous attendre, l'appli rapporte hauteur 120 cm (vérifiée à l'entrée) convient aussi aux enfants, des sensations fortes… On ne savait pas que c'était un high -des montagnes russes rapides et dans le noir…Le bébé ne pouvait pas serrer la main de son père parce qu'il devait tenir bon. Il est sorti très effrayé et, de toutes les bonnes choses que nous pouvions faire, l'émotion négative l'emporte… obscurcissant tous les moments agréables passés. Le WEB c'est amusant, mais avec de longues files d'attente. La formation des héros est un plateau photographique… Nous étions en octobre et super des travaux sont en cours, c'est donc l'avis lié au moment que nous avons vécu et à notre expérience.Disneyland c'est mieux avec de petits enfants",3 contributions,it,None,"2,0 sur 5 bulles",no
nov. 2022 , En famille,MARVEL ET PLUS,C'est une option très intéressante et un complément parfait à Disney La décoration est vraiment impressionnante et la zone Marcel est impressionnante et avec des spectacles tout au long de la journée De nouvelles attractions sont en cours de construction pour compléter cette zone,"Oviedo, Espagne",es,None,"5,0 sur 5 bulles",yes
déc. 2021, En famille,voir avis,BonjourMe concernant ca fait longtemps que je ne suis pas venue à Disney mais je n'ai jamais pris le temps d'écrire un avis. J'y suis allée avec des amis en 2012 et j'en garde de bons souvenirs. Les décors attractions ...sont cools. Mais je pense que ca a pas mal changé depuis comme beaucoup de choses. Bien sûr comme dans tout parc il y a souvent de la queue avant il y avait un systeme de fast pass et c'était plutot pas mal j'espere que ca existe toujours. Je pense que vous devriez proposer plus des billets promo comme vous le faisiez avant en été du genre 2 billets achetés le 2eme à moitié prix. SI vous étiez moins cher vous auriez beaucoup plus de clients.C'est dommage que vos journées halloween ne soient pas proposées sur la journée car le soir les gens qui doivent prendre le métro ou rer c'est compliqué.,3 contributions,fr,Écrit le 21 novembre 2022,"3,0 sur 5 bulles",no
nov. 2022, En couple,Un de mes parcs à thème préférés,J'ai visité les parcs seul pour la première fois cette semaine et j'ai passé un moment formidable! J'ai adoré le thème des frondeurs WEB et j'ai passé un bon moment sur The Twilight Zone Tower of Terror! Monter plusieurs fois sur la tour est un must si vous voulez faire l'expérience de différentes chutes et intrigues ! Le parc la nuit est très animé et coloré avec des animations sur le campus Avengers jusqu'à la fermeture du parc.,1 contribution,en,None,"5,0 sur 5 bulles",no
nov. 2022 , En famille,Beau parc mais pourrait être mieux,"Le parc est agréable mais pourrait être tellement mieux qu'il est très décousu et désorganisé, ce qui est aidé par le fait que vous devez essayer de tout trouver sur votre téléphone maintenant qu'ils n'ont pas de cartes papier ! Les manèges sont bons mais semblent continuer à tomber en panne beaucoup plus que l'autre parc!","Sheffield, UK",en,Écrit le 21 novembre 2022,"3,0 sur 5 bulles",no
nov. 2022 , En famille,C'est plus ce que s'était ,"C'est plus ce que s'était... déjà a l'entrée. On avait auparavant la superbe vue sur walt et Mickey maintenant les portes sont fermés. Le nouveau parc avenger rien de nouveau ... spiderman n'est rien de plus qu'un buzz améliorer et iron man très déçue c'est Aerosmith sans musique dans le noir avec 3 pauvres écrans de cinéma. La nouvelle attraction cars c'est l ancien bus des studios avec des choses en moins ca va très vite. Et je ne parle pas des files d attente interminables ... quand a l attraction crash coaster des 8h30 déjà 100 minutes de file d attente et sinon c'est en maintenance impossible a faire. Enfin le spectacle de la reine des neige entassés debout voir assis les enfants ne voient rien et on se marche dessus, sauf si vous avez les moyens de vous payer un accès prenium la on vous installera dans des fauteuils pour bien marquer la différence. Aberrant ","Gap, France",fr,Écrit le 7 novembre 2022,"1,0 sur 5 bulles",no
nov. 2022, En famille,Décevant,"Nous avons apprécié les spectacles vivants mais avons été très déçus à la fois par le faible nombre d'attractions par rapport à la Floride mais surtout par les pannes à répétitions. Un grand nombre d'attractions sont ""en panne"" ou ""indisponible"" ce qui restreint énormément le choix restant pour lequel les files d'attente sont juste impossibles. Mon conseil est simple, n'y allez pas.Peut-être d'ici quelques années, quand Disney aura au minimum installé 5 attractions existant en Floride, cela pourrait faire sens.Même les enfants en avaient assez de faire la queue sans arrêt pour s'entendre dire que finalement l'attraction était en panne. C'est inacceptable pour la marque Disney.","Gourdan-Polignan, France",fr,Écrit le 7 novembre 2022,"3,0 sur 5 bulles",no
oct. 2022 , En famille,Étonnante!!,"Une expérience unique pour petits et grands, nous sommes allés avec des enfants de 9, 13 et 14 ans, deux garçons et une fille à : pirates des Caraïbes, Indiana Jones, le bateau, le train autour de la plaine, le château de la belle au bois dormant avec L'épée d'Arthur et l'autre parc à Ratatouille, Star Wars et dans les deux avec un vr plus simple dans l'autre, nous ne sommes pas tous entrés et tout le monde n'est pas entré dans un qui était égal à ce qu'ils ont trouvé, ils ont aimé les vengeurs se rassembler! Nourriture chez Annette's American Fantastic et voir les feux d'artifice !! Super!!","Athènes, Grèce",el,None,"5,0 sur 5 bulles",no
nov. 2022 , En famille,Trop de monde,Bonjour franchement beaucoup trop de monde 1h voir plus d’attente pour 3 mn de jeuTrès déçu au vu du prix qu’on dépense pour 2 jours au parc. Ce sera la dernière fois pour nous. Trop de profit fini par tuer le profit !!,"Aire-sur-la-Lys, France",fr,Écrit le 21 novembre 2022,"2,0 sur 5 bulles",no
oct. 2022 , En famille,Magnifique,Le deuxième parc Disney ! Il n'est pas encore terminé puisqu'il y a deux grandes zones actuellement en travaux (Frozen et une entre Star Wars et Pandora) mais toujours très très sympa,"Pietra Ligure, Italie",it,None,"5,0 sur 5 bulles",no
oct. 2022, En couple,SE DEMANDER,"Nous recommandons le nouvel hyperespace, le mémo coaster, et absolument la tour hollywood et les merveilleux spectacles",ferrara,it,None,"5,0 sur 5 bulles",no
oct. 2022, En famille,Beaucoup trop de monde !,"Beaucoup trop de monde ! Malgré un prix d'entrée élevé, les files aux attractions atteignent 60 minutes, ceci pour 3 minutes de plaisir ou de peur. Pas jouable avec des enfants. Cependant, un bon point pour les spectacles, genre ""reine des neiges"" = les acteurs chanteurs sont bons, même si les spectacles sont pour les 2/3 en anglais. Nous ne reviendrons pas en période de vacances scolaires.","Salles d'Aude, France",fr,Écrit le 3 novembre 2022,"3,0 sur 5 bulles",no
oct. 2022 , En famille,Épouvantable,"Même si le personnel et les équipements sont excellents ici, le parc est massivement abandonné en décomposant les manèges et rarement des personnages se rencontrent qui ne sont pas des spectacles. En plus d'être pendant la saison d'Halloween, il manquait énormément de décorations d'Halloween. Dans l'ensemble, mon expérience ici ne me donne pas envie de revenir. Mauvais effort disney",1 contribution,en,Écrit le 2 novembre 2022,"2,0 sur 5 bulles",yes
oct. 2022 , En famille,Incroyable juste quelques ajustements nécessaires,"Les studios Walt étaient incroyables, nous avons passé une si belle journée dans ce parc et nous sommes revenus pour la moitié de notre troisième jour. C'était vraiment quelque chose pour créer des souvenirs et vraiment s'amuser. Je déteste écrire quelque chose de négatif ici car c'était vraiment une bonne expérience mais c'est plus une suggestion, la zone des vengeurs était bien travaillée et nous avons adoré les spectacles mais s'il vous plaît, pourriez-vous envisager de rendre les personnages un peu plus disponibles (pas beaucoup mais juste un peu) mon fils est un grand fan de merveille au point où tout ce qu'il possède est une merveille, chaque jeu auquel il joue est basé sur une merveille, toute sa chambre est une merveille. Bien qu'il ait pu voir les personnages et dire un bonjour rapide et oui, ils l'ont vu et interagissent avec lui extrêmement rapidement, il était tellement déçu qu'il n'a pas pu le faire correctement au point où il a en fait couru après Thor mais il était un peu repoussé pour s'être rapproché, il ne comprend pas car il n'a que 6 ans, donc il était vraiment contrarié par cela. Nous avons essayé d'entrer pour rencontrer Spider-man (son préféré), mais personne n'a dit que nos billets n'avaient été utilisés qu'une seule fois, donc encore une fois, nous avons été déçus. Il y a beaucoup de monde là-bas, c'est pourquoi tout est une suggestion, mais quand il était si contrarié, je dois le faire dans mon avis. Nous avons cependant passé un bon moment, alors ne le prenez pas trop comme un négatif et nous reviendrons à un moment donné merci","Londres, UK",en,None,"4,0 sur 5 bulles",no
oct. 2022 , En couple,"Plus chiant que 2016, malheureusement","Nous étions ici en 2016, lorsque Studio Parks était le favori, et nous attendions avec impatience une réunion, mais malgré les bons acteurs qui jouaient les personnages de Marvel, les expériences qui ont soulevé 2016 ont disparu ou se sont transformées en quelque chose de plus ennuyeux. Il y a des temps d'attente BEAUCOUP trop longs pour les manèges.",1 contribution,da,None,"2,0 sur 5 bulles",no
oct. 2022 , En famille,Trop d'attente,"Dépensé une somme d'argent démesurée pour passer la journée à jouer sur le mobile dans diverses files d'attente. Les estimations de temps d'attente ne sont pas exactes. L'accès rapide / premier coûte plus cher que les hôtels Disney déjà chers. Cela va trop loin. Les attractions elles-mêmes sont pour la plupart bonnes, certaines excellentes, mais l'expérience dans son ensemble ne fonctionne tout simplement pas. Cela n'en vaut tout simplement pas la peine. Vous pouvez tirer le meilleur parti de votre journée, et pour beaucoup moins d'argent, à Paris même.",7 contributions,en,Écrit le 26 octobre 2022,"1,0 sur 5 bulles",no
oct. 2022, En famille,longues lignes,"Beaucoup trop de files d'attente et beaucoup trop de monde. Vous passez la majeure partie de la journée à faire la queue, donc vous ne pouvez pas aller vous amuser",3 contributions,da,None,"1,0 sur 5 bulles",no
oct. 2022 , En famille,C'etait mieux avant les pass premium!,"C'etait mieux avant!Oui je commence comme ça juste parce que même si Disney represente en grande partie la société de consommation et le marketing, avant on y allait pour les attractions. Aujourd'hui ils ont réussi à creuser encore plus des inégalités avec leurs PASS Premium. On attend plus d'une heure pour chaque attractions, les gens avec les pass font aussi la file d'attente, tout n'est pas ouvert.... Ca rend le moment de moins en moins féérique et ludique. Bref, plus envie d'entretenir ce système !","Genève, Suisse",fr,Écrit le 21 octobre 2022,"1,0 sur 5 bulles",no
oct. 2022 , En famille,"Aurait pu être génial, finalement déçu","J'ai visité les deux parcs le même jour avec celui-ci dans l'après-midi. Il y a une grande différence dans le thème de ce parc par rapport à Disneyland mais j'ai senti qu'il promettait beaucoup et n'a pas réussi à livrer. Heureusement, les files d'attente ne sont pas aussi folles que Disneyland mais quand même substantiel. Comme d'autres l'ont souligné, la mise en page est un gâchis et ressemble à un travail en cours par endroits. Les options de restauration sont médiocres par rapport au parc Disneyland. Les manèges sont bons si vous pouvez y monter même s'ils tombent souvent en panne. La merveille spiderman était celle que nous attendions tous avec impatience mais qui était hors service. Un autre manège était tombé en panne alors que les gens s'étaient installés dans les sièges. Cela étant dit, les manèges de ratatouille et de toy story étaient amusants. Vous pourriez sans doute passer quelques jours à essayer de tout couvrir car il y a des spectacles tout au long de la journée. Je pense que s'il peut surmonter ses problèmes de fiabilité et que le parc trouve un meilleur aménagement, cela pourrait être un endroit formidable à visiter et à apprécier.","Bradford, UK",en,Écrit le 21 octobre 2022,"3,0 sur 5 bulles",no
oct. 2022 , En couple,Amusant pour petits et grands,"Une splendide nouveauté pour les ""grands"" enfants avec des attractions plus audacieuses, et des sujets issus de l'univers Marvel et pas seulement pour capter l'attention des adultes et pas seulement, des spectacles en direct autour du parc et dans des théâtres dédiés, un énorme travail bien fait et c'est vaut le prix du billet, le seul défaut est le merchandising pas tout à fait adéquat, et les files d'attente un peu trop longues... mais sinon avec un peu de patience ça devient une expérience unique",4 contributions,it,None,"5,0 sur 5 bulles",yes
sept. 2022 , En famille,Très bien mais la magie manque,De très bons matchs mais beaucoup d'attente et c'était une journée pluvieuse où il n'y avait peut-être pas autant de monde que d'habitude. Il nous manquait l'immersion caractéristique de Disney en général.,2 contributions,es,None,"4,0 sur 5 bulles",no
oct. 2022 , En famille,De meilleurs manèges mais toujours une arnaque.,"Nous avons séjourné au Disney Studios pour le dernier jour de nos vacances. Contrairement à l'autre parc, tout est un peu plus moderne ici. Aussi les manèges. Néanmoins, vous devez payer un supplément ici si vous ne voulez pas attendre 75 à 100 minutes. Pour nous en famille jusqu'à 36.-€ Comme je l'ai dit, c'est à chacun de payer, mais avec un petit enfant, faites tout pour ne pas trop attendre.",Luzern,de,None,"3,0 sur 5 bulles",yes
oct. 2022 , En famille,Super !,L’avengers Campus vaut vraiment le coup et apporte un vrai plus à ce parc qui commencer à être sans nouveautés et moins attractif que le parc principal. Ce nouveau land est superbe et je reviendrais plus souvent dans ce parc du coup !,"Paris, France",fr,Écrit le 13 octobre 2022,"5,0 sur 5 bulles",yes
oct. 2022 , En famille,Super quelques jours !,"Nous sommes venus pendant 3 jours, avons passé 1 longue journée dans ce parc, avons eu tout ce que nous voulions faire… séjourner dans un hôtel Disney aide à arriver une heure plus tôt! J'ai adoré le nouveau campus des Avengers .. à peu près la seule nouveauté en 15 années esprit lolBe sympa de voir si plus étendu comme encore veille derrière Orlando… Passé un bon moment tu, temps d'attente pas trop mal et tous les manèges ouverts 👍🪄💖","Lincoln, UK",en,Écrit le 13 octobre 2022,"5,0 sur 5 bulles",yes
oct. 2022, En famille,Journée magique,"Nous avons visité ce parc plusieurs fois au fil des ans. Dans les premières années, vous pouviez facilement faire ce parc en une demi-journée, mais maintenant, il ne devrait plus être dans l'ombre du parc Disneyland ! Avenger Campus est une extension très réussie pour le studios. Surtout l'attraction Spider-man est très sympa ! Avengers Assemble : flight force est une bonne superposition du Rock 'n Rollercoaster mais les projections dans l'attraction auraient besoin d'un peu de travail ! Les acteurs sont aussi très sympathiques dans ce parc ! Le seul L'inconvénient est que les bâtiments où les spectacles sont présentés pourraient nécessiter un peu d'attention et peut-être qu'un coup de peinture et des tapis volants au-dessus d'agrabah sont maintenant un peu déplacés entre tout. être une utilisation de nettoyage.Tout le reste est super!",4 contributions,nl,None,"5,0 sur 5 bulles",no
oct. 2022 , En famille,Très belle découverte,Superbes attractions mais quel dommage le temps d’attente trop long 😒 même avec l’entrée avant l’ouverture officielle du parc ! ,"Thimister-Clermont, Belgium",fr,Écrit le 13 octobre 2022,"4,0 sur 5 bulles",no
sept. 2022, En couple,"Quelques bons manèges, mais ne coule pas comme il se doit","Tout d'abord, il a des manèges que vous attendez d'un parc Disney Studios. . . Crush est un bon coaster intérieur, ratatouille est un bon manège 4d, la tour de la terreur pour moi a toujours du punch (et est probablement aussi bonne sinon une meilleure version que la Floride) et les manèges Avengers seront probablement considérés comme bons si vous n'êtes jamais allé dans un parc Disney auparavant. n'y a tout simplement pas de débit ! Les voitures, qui sont l'ancienne tournée des studios, sont dans une longue impasse... et le trajet lui-même est simplement réduit à la catastrophe du camion, qui n'a rien à voir avec Cars et n'a jamais... La section des histoires de jouets vient d'être pressée dans et a été construit autour de la course Rc racer (bonne conduite cependant!), Parce qu'elle était là. Nous avons rebaptisé le manège Aerosmith en tant que manège Avengers, qui est exactement le même manège sans la bonne musique ..... et se sent donc un manège inférieur. Si vous n'avez jamais monté Aerosmith, vous trouverez probablement que c'est un tour décent. avoir le temps et se sentir épuisé à la fin ! Peut-être que les enfants l'apprécieront juste pour le fait qu'ils peuvent lancer des toiles comme Spiderman ! La plupart des bons spectacles semblent manquer à l'heure actuelle, mais leur offre Mickey Magic est vraiment bonne, avec beaucoup de personnages de Disney. Vous aurez un bonne journée ici à coup sûr, malgré les tentatives bizarres de Disney pour s'assurer que vous ne le faites pas ... en supprimant le système fastpass, en vous demandant de payer deux fois en introduisant le paiement par trajet (à quoi sert exactement l'admission sinon pour les trajets?) , ouvrant le parc à 9h30 tardif et créant le chaos dans la zone d'entrée en n'autorisant personne à entrer et en n'ayant pas de système de chute de corde ! En plus de cela, il n'y a en grande partie pas d '«heures magiques» pour les clients de l'hôtel sur place.Ces faits garantissent que vous ferez la queue pour les attractions pour toujours, à moins que vous ne choisissiez une journée tranquille.Tout est conçu pour vous mettre de mauvaise humeur dès le début, aucune idée ce qu'ils pensent ! Mais c'est les costumes modernes pour vous, vous n'avez vraiment aucune idée du service client de nos jours. Bonnes promenades mais le parc pourrait être tellement mieux avec un peu plus de réflexion.","Southport, UK",en,Écrit le 6 octobre 2022,"3,0 sur 5 bulles",no
juil. 2022 , En famille,Grandes mais fréquentes pannes de conduite,"J'ai bien aimé le parc qui a des manèges fabuleux. Les montagnes russes de Crush étaient incroyables! Le manège de Spider-Man est incroyable mais tombe en panne fréquemment… Je pense que lorsqu'un merveilleux spectacle gratuit en plein air (Guardians of the Galaxy, etc.) se produit, les manèges Marvel s'arrêtent! Ce service massivement médiocre et un signe que plus de personnel est nécessaire!","Haverfordwest, UK",en,None,"4,0 sur 5 bulles",no
sept. 2022 , En famille,Un peu déçu,"Déçu car je suis venu le mardi 27/09/22, en famille, dès l'ouverture du parc et je n'ai pu faire les deux plus belles attractions car 120 minutes de moyenne d'attente pour le Roller Coast (Némo) et 95 minutes de moyenne d'attente pour spiderman. Je trouve ces temps d'attente trop long et donc très déçu.",1 contribution,fr,Écrit le 10 octobre 2022,"3,0 sur 5 bulles",no
sept. 2022, En famille,pas mal du tout,"le campus avengers est pas mal, de la magie en plus. beaucoup de monde...l'attraction spider man est marrante","Seraing, Belgique",fr,None,"4,0 sur 5 bulles",no
sept. 2022 , En famille,Les spectacles au top! Les attractions avec trop longue attente!,Dernière venue en 2017. Donc depuis la partie advengers a remplacé la zone d avant. Je rejoins tous les commentaires négatifs qui mentionne des temps d attente énorme ! Très compliqué avec des enfants en bas âges et pourtant on a choisi de venir hors saison. Au final des attractions en moins vu que la zone moteur actions est en attendre de la reine des neiges et toujours plus de monde . Le nombre de visiteurs devraient être limités. Super top spectacle de Mickey magicien ! Et également les chanson de Elsa et Anna. L attraction Spiderman est top un peu bruyante avec les petits et manque un peu de temps par zone de tir sur les araignées . Par contre aucune déco sur la file d attente qui est interminable et dans des couloir un peu clostro. On attend la zone reine des neiges espérant des attractions tous public ! 🤞🏻,"Broc, Suisse",fr,None,"4,0 sur 5 bulles",no
sept. 2022, En famille,Files d'attente ridicules,Il n'y a pratiquement rien à faire dans ce parc à moins que vous ne soyez prêt à faire la queue pendant plus d'une heure pour un trajet de 2 minutes ou à payer pour sauter la file d'attente en plus du prix de votre billet déjà cher - cela n'en vaut pas la peine.,"Chelmsford, UK",en,None,"1,0 sur 5 bulles",no
août 2022, En famille,En constante évolution,"Cette année, ils ont ajouté la zone Avengers très agréable et bien entretenue. C'est bien de voir Spider man sur les toits et les Wakandans défiler. La zone du kiosque près du jeu Ratatouille est magnifique. Le deuxième parc est celui qui se renouvelle sans cesse et représente la nouveauté. D'autres extensions sont évidentes.","Naples, Italie",it,None,"5,0 sur 5 bulles",no
sept. 2022 , En famille,Campus Marvel moyen,"Nous regrettons énormément notre ancien Land qui a été remplacé par Campus Marvel.Les cascadeurs étaient bien plus émouvant et spectaculaire que de prendre des photos avec des personnages.Je ne retrouve plus le monde merveilleux de Disney mais je pense que les fans de Marvel doivent aimer.Pour ma part, Marvel aurait dû être sur un autre parc.","Cavaillon, France",fr,None,"3,0 sur 5 bulles",no
